Category,Unique Value,Keep
MALDI_Matrix,9-aminoacridine (9AA),
Analyzer,Select Series MRT,
Condition,Wild type,
Analyzer,12T FTICR,
Tissue_Modification,Collagenase III,
MALDI_Matrix,NEDC,
Organism,N/A,
Organism_Part,N/A,
Organism_Part,Spleen,
MALDI_Matrix_Application,homebuilt sprayer,
Organism,Bryozoan,
Organism_Part,tissue,
Sample_Stabilisation,"Fresh frozen, CMC embedded",
MALDI_Matrix,SDHB,
MALDI_Matrix_Application,SunChrom Sprayer,
Additional_Information,"Sample 14A, m/z range 300-1500",
Condition,Biopsy,
Organism_Part,Heart,
Organism_Part,seed,
Condition,Mutant,
MALDI_Matrix,None,
MALDI_Matrix_Application,None,
Organism_Part,Tumor,
Organism_Part,whole body,
Condition,Wildtype ,
Condition,mutant,
Organism_Part,kidney biopsy,
Condition,pilot sample,
Sample_Stabilisation,none,
MALDI_Matrix,DHB,
Organism,Olavius,
Organism_Part,whole worms,
Sample_Stabilisation,frozen,
Analyzer,Q-Exactive-Orbitrap-HF,
Organism,micorbes,
Organism_Part,colonies,
Condition,s.p.fw213,
Condition,a.a.vt1169,
Organism,Bovine,
MALDI_Matrix_Application,Sublimation,
Analyzer,Synapt G2-Si MS,
Organism,Marmoset,
Sample_Growth_Conditions,control,
Sample_Growth_Conditions,AD model,
Condition,PETE placed on top of the root: fresh soil bellow root,
Sample_Stabilisation,PETE,
MALDI_Matrix_Application,N/A,
Condition,PETE placed bellow root,
Organism,Danio rerio (zebrafish),
Organism_Part,Whole organism,
Sample_Stabilisation,"Flash Frozen, Gelatin CMC Embedded",
MALDI_Matrix,Sucrose,
Organism,blank AAO-Pt,
Condition,Blank,
Sample_Stabilisation,AAO Pt,
MALDI_Matrix,Pt coating and DHB,
Organism,blank AAO,
Condition,no platina coating,
Sample_Stabilisation,AAO,
Organism,Plant3,
Condition,Plant 3,
Organism,Guanidin culture 10,
Organism_Part,dried droplet,
Condition,solution,
Sample_Growth_Conditions,NA,
Sample_Stabilisation,dreied droplet,
Additional_Information,Gill section of B. puteoserpentis embedded in CMC on board.,
Organism,Guanidin culture 9,
Organism,Guanidin culture 6,
Organism,Guanidin culture 7,
Organism,Guanidin culture 8,
Organism,Guanidin culture 2,
Organism,Guanidin culture 5,
Organism,Guanidin culture 4,
Organism,Guanidin culture 3,
Organism,Guanidin culture 1,
Organism,Vitis vinifera / V. berlandieri x V. rupestris,
Organism_Part,graft interface,
MALDI_Matrix_Application,Spray ,
Analyzer,Thermo QExactive Orbitrap mass spectrometer ,
Organism,Vitis vinifera,
Condition,Sham surgery - MCAO,
Condition,Sham surgery (MCAO),
Condition,24h-post ischemic stroke ,
Organism_Part,kidney,
Condition,50um,
Condition,25um,
Condition,S-1910-000025 25um,
Organism_Part,Kidney Organoid,
Organism,Betaine culture 11-13,
Organism,Betaine culture 1-5,
Organism,Betaine culture 6-10,
Organism,plant,
Organism_Part,None,
Condition,AAO with Pt coating,
MALDI_Matrix,Pt coating+ NEDC,
Organism,AAO blank,
Condition,Wtype,
Organism_Part,Breast tumor,
Condition,Cancer Tumor,
MALDI_Matrix_Application,sprayer,
MALDI_Matrix,Pt coating,
Organism,Guanidin in water,
Organism,Guanidin in medium,
Organism,Plant1,
Condition,Plant 1,
Organism,Rodent,
Organism_Part,Adrenal Gland,
Organism,Zebrafish,
Organism,diversispora epigaea,
Organism_Part,hyphae,
MALDI_Matrix,Norharmane,
Condition,"Cancer, HCC",
Organism,Rock,
Organism_Part,grain,
Condition,2757,
Tissue_Modification,Derivatization,
Condition,2777,
Condition,2767_4APEBA,
Condition,2764,
Condition,2768,
Condition,2627,
Condition,2622,
Condition,2614,
Condition,2615,
Condition,2611,
Condition,2609,
Condition,2468,
Condition,2471,
Condition,2470,
Condition,2469,
Condition,2464,
Condition,2458,
Condition,1707,
Condition,1773,
Condition,1642,
Condition,1638,
Condition,908,
Condition,894,
Condition,959,
Additional_Information,Sural nerve,
Organism,medium and water,
Sample_Stabilisation,dried droplet,
Organism,Hemp,
Condition,hemp_AA,
Sample_Growth_Conditions,Rhizochip,
Condition,hemp_BB,
Organism_Part,Kideny,
MALDI_Matrix,DESI,
Condition,Cancer,
Organism_Part,Blood cells,
Organism_Part,Fruit,
Organism,Ecoli,
Organism_Part,Agar growth,
Sample_Stabilisation,agar,
Analyzer,timsTOF Flex,
Organism,Hela Cells,
Organism_Part,Cells,
Sample_Growth_Conditions,in vivo,
MALDI_Matrix,DAN,
MALDI_Matrix_Application,Spray robot,
Additional_Information,"Optical image channels: 

Optical image channels: 

Optical image channels: 

Optical image channels: 

Optical image channels: 

Optical image channels: 

Optical image channels: gray = brightfield, green = GFP
",
Organism_Part,Fibroblasts,
Condition,imprinted on membranes,
Sample_Growth_Conditions,Rhizobox,
Sample_Stabilisation,AAO membrane,
Condition,blank,
Condition,normal,
Organism_Part,Uterus,
Organism_Part,Cervix,
Organism,None,
Organism_Part,blank,
Condition,blank without C coating,
Condition,blank with C coating,
Organism,grain,
Condition,with C coating,
Condition,without C coating,
Organism_Part,Intestine,
Organism,human,
Organism_Part,placenta,
Organism,Gossypium hirsutum,
Organism_Part,flower bud,
Condition,GhPMEI53 overexpression cotton,
Sample_Growth_Conditions,Field collected,
Organism,V. berlandieri x V. rupestris,
Organism,Vitis vinifera / Vitis riparia Michaux ,
Organism,Vitis riparia Michaux ,
Organism_Part,wood,
Organism,Vitis riparia Michaux,
Organism,Camellia sinensis,
Organism_Part,bud,
Organism,Cerastoderma edule,
Organism_Part,Gill,
Sample_Stabilisation,cryo,
Organism,Arabidopsis thaliana,
Organism_Part,leaf,
Sample_Growth_Conditions,hoagland medium,
MALDI_Matrix_Application,Sputter Coater,
Organism,Betain in medium,
Condition,Fresh frozen,
Condition,fresh frozen,
Organism,d. epigaea,
Organism_Part,spores,
Organism,rhizophagus irregularis,
Organism,no poplar,
Organism_Part,soil only,
Condition,rhizobox,
Sample_Stabilisation,PETE ,
Sample_Stabilisation,PETE with soil on top,
MALDI_Matrix,Ag,
Organism_Part,Jurkat,
Sample_Stabilisation,10% NBF,
Condition,norm,
Condition,Standard,
Analyzer,Q-Exactive-Orbitrap,
Organism_Part,Heart homogenate,
Organism_Part,Heart ,
Sample_Stabilisation,Dried on slide,
Organism,Defluviicoccus vanus,
Organism_Part,Microbial colony,
Sample_Growth_Conditions,Glucose 7.5 mg/L,
Analyzer,Synapt G2-S MS,
Organism,Sorghum,
Tissue_Modification,derivatization APEBA,
Organism,Standard,
Sample_Stabilisation,Dried under nitrogen,
Analyzer,Orbitrap Exploris 480,
Organism_Part,Root Tip,
Organism,Mosquito,
Organism_Part,egg,
MALDI_Matrix_Application,Suncollect sprayer,
Organism,Bathymodiolus azoricus,
Sample_Stabilisation,CMC,
Organism_Part,Esophagus,
Condition,metastases,
Sample_Growth_Conditions,13C Glucose,
Additional_Information,"16022021_VS_slide7J_130x273_px150_att29_pureDHB_pos_rf100_mz300-1510
Optical image channels: gray = Trans, red = Dapi
",
Sample_Growth_Conditions,d086-rll-17b2-45,
Sample_Growth_Conditions,D170-RML-BPS-2-5,
Condition,GTTP_rhizo,
Sample_Stabilisation,60% MeOH extract,
Organism_Part,none,
Condition,GTTP_blank,
Condition,GTTP_rhizo_NEDC,
Condition,5uL of rhizosphere bulk extract 60% MEOH,
Organism_Part,Ovary,
Condition,"Cancer, serous tumor, high-grade",
Tissue_Modification,CMC,
Analyzer,timsTOF fleX MALDI2,
Additional_Information,(legend),
Condition,nephrectomy,
Condition,PETE_rhizpsphere,
Condition,PETE membrane,
Organism,Eragrostis lehmanniana  ,
Condition,r1dno1,
Condition,r3dnc1,
Condition,r3ei01,
Condition,r2ei01,
Condition,r1ei01,
Condition,r2eic1,
Condition,r3dno1,
Condition,r1eic1,
Condition,r2dno1,
Condition,r32eic1,
Condition,r3dnc1_1,
Condition,PETE NEDC,
Condition,r2dnc1,
Condition,r1dnc1,
Condition,r3eic1,
Condition,r3eio1,
Condition,r2eio1,
Condition,r1eio1,
Condition,clean membrane,
Organism,none,
Condition,soil_only,
Sample_Stabilisation,GTTP membrane,
Condition,membrane-blank,
Condition,rhizosphere bulk,
Condition,ref_S-2108-005538,
Condition,ref for S-2106-003429,
Organism,Plant,
Condition,Parkinson’s disease,
MALDI_Matrix,FMP-10,
Sample_Growth_Conditions,Healthy,
Condition,PETE prewetted with IPA,
Condition,PETE sandwiched between prewetted filter paper and thizobox,
Organism,Homo sapiens (human) ,
Condition,prewetted with H2O,
Condition,prewetted with 50% MeOH,
Organism,medicago truncatula,
Organism,Oak,
Organism,Pine,
Condition,brown-rot,
Sample_Growth_Conditions,Glucose 15 mg/L,
Condition,S-2106-003429,
Condition,ref for s-2111-008265 CHCA/DMA,
Condition,ref for s-2111-008265,
Condition,s-2111-008265,
Organism,Human ,
Condition,wild type,
Condition,soil from rhizobox-control,
Organism,Sus scrofa domesticus (pig),
Additional_Information,"Sample 12E, mz range 60-700,
Laser: Minimal, 150 shots/pixel @2000hZ, Q1 mass 80mz
Matrix application: 70°C nozzle temp, 7 passes, concentration 10 mg/mL, flowrate 0.1 mL/min, sprayhead velocity 1200 mm/min, track spacing 3mm, gas pressure 10psi",
Organism_Part,Brain | Lung | Liver | Heart | Kidney | Muscle,
Condition,ipf,
Condition,ipah,
Condition,ctrl,
Sample_Growth_Conditions,Environmental,
Sample_Stabilisation,Paraformaldehyde fixed,
MALDI_Matrix,"2,5-dihydroxyacetophenone (DHA)",
Organism,Bathymodiolus puteoserpentis,
Organism_Part,"Liver, kidney, Brain, Spleen",
Sample_Stabilisation,"Fresh frozen, Gelatin CMC embedded",
MALDI_Matrix_Application,ImagePrep,
Organism_Part,Spinal Cord,
Condition,12h-post ischemic stroke ,
Condition,wild type vs mutant,
Condition,wt and mutant,
Sample_Stabilisation,Glutaraldehyde,
Organism,tomato,
Organism,Mussel,
MALDI_Matrix,"2,4,6-Trihydroxyacetophenone (THAP)",
Condition,ref for S-2106-003624,
Condition,S-2106-003624,
Condition,S-2006-002121,
Condition,ref for S-2006-002121,
Organism,annelid,
Sample_Stabilisation,"Flash frozen, CMC+gelatine embedded",
Sample_Growth_Conditions,animal,
MALDI_Matrix,2-Mercaptobenzothiazole (MBT),
Organism,Gilbert_root,
Condition,100+ cm,
Condition,30 cm,
Condition,120 cm,
Condition,60-90 cm,
Condition,60-90cm,
Condition,30cm,
Condition,120-150 cm,
Organism,"Pseudomonas aeruginosa, Staph aureus",
Organism_Part,biofim,
Sample_Stabilisation,PAGE,
Condition,control-2,
Condition,Normal,
Condition,BPD,
Organism_Part,2757,
Organism_Part,2707,
Condition,2707,
Organism_Part,2464,
Organism_Part,2614,
Organism_Part,954,
Condition,954,
Organism_Part,894,
Organism_Part,908,
Organism_Part,756,
Condition,756,
Organism,homospaiens,
Organism_Part,Pancreas,
Sample_Stabilisation,"Fresh frozen, OCT embedded",
Analyzer,UHMR HF Orbitrap,
MALDI_Matrix_Application,spray,
Organism,plant and microbes,
Organism_Part,rhizoshpere,
Condition,no minerals,
Sample_Stabilisation,Rhizochip,
Condition,with minerals,
Sample_Growth_Conditions,microfluidics,
Sample_Stabilisation,SAPTAP,
Sample_Stabilisation,microfluidics,
Sample_Growth_Conditions,SAPTA,
Organism,fungal garden,
Sample_Stabilisation,HPMC embedded,
Analyzer,15 T FTICR,
Organism,hamster,
Organism_Part,liver,
Condition,S. mansoni singlesex-infected,
Condition,S. manosni bisex infected,
Condition,non-infected,
Organism,marine cultures,
Condition,mixture,
Condition,SD vs HFD,
Organism,Marine Culture,
Organism_Part,Colonies,
Sample_Growth_Conditions,Marine Agar,
Additional_Information,"
",
Organism_Part,various,
Organism,Human,
Organism_Part,Inner forearm skin,
Sample_Stabilisation,Room temp,
Tissue_Modification,NA,
Organism_Part,Endometrium,
Tissue_Modification,FFPE,
Organism,mouse-lungs,
Organism_Part,lungs,
Analyzer,timsTOF ,
Organism_Part,Skin Tumor,
MALDI_Matrix_Application,iMatrixSpray,
Condition,Section,
Sample_Growth_Conditions,reference,
MALDI_Matrix,α-Cyano-4-hydroxycinnamic acid (HCCA),
Analyzer,Exploris 480,
Organism,fungy,
Condition,on different membranes,
Sample_Growth_Conditions,Erin Nuccio,
Sample_Stabilisation,on membrane,
Organism_Part,Tumour,
Condition,"Cancer, xenograft",
MALDI_Matrix,Universal DHB CHCA,
Analyzer,timsTOF MALDI,
Condition,Tumor,
Condition,S-2006-001690,
Condition,ref_S-2002-005641,
Condition,S-2002-005641,
MALDI_Matrix_Application,TransMit Sprayer,
Organism_Part,gratric cancer tissue,
Condition,Cancer ,
Condition,Con3,
Sample_Growth_Conditions,caged,
MALDI_Matrix,9AA,
MALDI_Matrix_Application,iMLayer,
Analyzer,Q-TOF,
Condition,Con2,
Condition,Tg3,
Condition,KO2,
Condition,Tg2,
Condition,Con1,
Condition,Tg1,
Condition,Transgenic,
Condition,Control2,
Condition,KO1,
Condition,Control3,
Condition,KO3,
Organism_Part,Stomach,
Organism_Part,Spot,
Condition,TFA,
MALDI_Matrix,Gold,
Additional_Information,pink tape 1.9 amps,
Sample_Growth_Conditions,Navie,
MALDI_Matrix,BNDM,
Organism_Part,root tip,
Condition,mixed,
MALDI_Matrix_Application,SMALDI Prep,
MALDI_Matrix,9aa,
Condition,drought/endophyte,
Condition,control endophyte,
MALDI_Matrix,norharmane,
Organism_Part,Rooting system,
Condition,Rhizochip with fungy,
MALDI_Matrix,"1,5 DAN",
Condition,IRI,
Analyzer,orbitrap exploris 120,
Condition,lot of features-unknown ID number,
Organism,Brachypodium distachyon,
MALDI_Matrix_Application,HTX sprayer,
Condition,ref_for_024_control,
Condition,ref_for_0922,
Condition,ref_for_6724,
Condition,"ref_for_0734, 50um",
Organism,Fusarium chlamydosporum,
Condition,w mineral,
Sample_Stabilisation,microfluidic device,
Condition,10 µm Freeze frozen,
Sample_Stabilisation,fomalin 4%,
Sample_Growth_Conditions,High Glucose,
Organism,Posidonia oceanica,
Additional_Information,embedded in CMC,
Condition,mutant duff with fungy,
Sample_Growth_Conditions,with fungy,
Organism_Part,Stem,
Sample_Growth_Conditions,Surgical specimen,
MALDI_Matrix,"1,6-diphenyl-1,3,5-hecatrine",
Condition,control 1_pH9,
MALDI_Matrix,DHAP,
MALDI_Matrix_Application,sono-tek sprayer,
Additional_Information,embedded in 2% CMC,
Organism,Cyanobacteria,
Organism_Part,colony ,
Sample_Growth_Conditions,BMAA incubation,
Condition,top_drought_endophyte,
Condition,top_drought,
Condition,top_control_endophyte,
Condition,top_control,
Condition,mid_drought_endophyte,
Condition,mid_drought,
Condition,mid_control_endophyte,
Condition,mid_control,
Condition,D-265-LLL-10B2-8,
Sample_Stabilisation,5% CMC,
Condition,normal ,
Additional_Information,no embedding in CMC,
MALDI_Matrix_Application,HTX-TM,
Organism,sorghum ,
Organism,Microglia,
Condition,naive and LPS,
MALDI_Matrix_Application,SMALDIPrep,
Condition,naive,
Condition,LPS,
Sample_Stabilisation,Formalin fixed,
Tissue_Modification,PFA,
Condition,07_top,
Condition,control 1,
Condition,077_large,
Condition,control 2,
Condition,077_biopsy,
Condition,067_biopsy,
Sample_Stabilisation,3.75% HPMC and 1.25% PVP ,
MALDI_Matrix,CHCA/DMA,
Organism_Part,nodule,
Organism,mouse,
Organism_Part,skin,
Analyzer,qTOF,
Organism,"human, pig",
Organism_Part,"liver, spleen, stomach",
Condition,"Cancer, CRC",
Tissue_Modification,methanol,
Analyzer,21 T FTICR,
Sample_Growth_Conditions,Amy MC project,
Organism_Part,stem,
Additional_Information,UTHSCSA,
Organism,Coral larvae,
Organism_Part,larvae,
Condition,aposymbiotic,
Sample_Stabilisation,CMC embedded,
Sample_Growth_Conditions,meredith root,
Condition,None,
Sample_Growth_Conditions,None,
MALDI_Matrix,"1,5-diaminonaphthalene",
MALDI_Matrix_Application,TM-Sprayer,
Organism,Bacillus subtilis,
Organism_Part,biofilm,
Sample_Growth_Conditions,72h wound healing,
Sample_Growth_Conditions,24h wound healing,
Sample_Growth_Conditions,48h wound healing,
Organism,Artemisia annua,
Organism_Part,Leaf,
MALDI_Matrix_Application,DESI,
Organism,Geodia barretti,
Organism_Part,tissue section,
Organism,Bathymodiolus childressi,
Sample_Stabilisation,"Fresh frozen, CMC",
Organism,Biosolid,
Condition,Activated sludge,
Condition,cancer,
Condition,D-265-LLL-10B2-7_25um,
Condition,D-265-LLL-10B2-7,
MALDI_Matrix,PNA,
Tissue_Modification,antigen retrieval,
Organism_Part,Tonsil,
Organism_Part,Skin,
Condition,"s-2203-016117, 50um",
Condition,"s-2008-000608, 50um",
Condition,"s-2008-000608, 25um",
Condition,"ref for s-2203-016117, 50um",
Condition,melanoma,
Condition,tumor,
Organism,BBCC 1814-1835,
Organism,kidney,
Organism_Part,mouse,
Organism,shellfish,
Organism_Part,shellfish,
Condition,Knockout,
Sample_Stabilisation,Formalin fixed paraffin embedded,
Tissue_Modification,Formalin fixation,
Condition,"S-2006-001972, 25um, left",
Condition,"S-2006-001972, 50um, right",
Condition,"S-2006-001972, 50um, center",
Condition,"S-1905-018761, 25 um, left",
Condition,"S-1905-018761, 50 um, right",
Condition,ref for S-1905-018761,
Condition,ref for S-2006-001972,
Condition,"S-1905-018761, 50 um, center",
Sample_Growth_Conditions,24 hour incubated on alginate beads,
Organism,"Bacillus subtilis, Pseudomonas marginalis",
Organism_Part,Whole organisms and agar,
Sample_Growth_Conditions,72 hr cultivation,
Sample_Stabilisation,Glue fixed to Bruker Intellislides,
Organism_Part,Whole organism and agar,
Organism,Rhesus (Monkey),
Analyzer,Orbitrap XL,
Sample_Growth_Conditions,Rested,
Condition,KO vs. KO,
Condition,KO vs. WT,
Organism,"Bacillus subtilis, Pseudomonas fluorescens",
Condition,WT vs. WT,
Condition,WT vs. KO,
Sample_Growth_Conditions,24 hours incubated,
Sample_Stabilisation,"Flash frozen, Gelatin CMC embedded",
Sample_Growth_Conditions,24hr growth on alginate beads,
Organism_Part,Colon,
Organism,Biofilms,
Organism_Part,biofilms,
Sample_Stabilisation,Fresh ,
Condition,Drug treated,
Sample_Growth_Conditions,Sertraline,
Condition,"S-2008-000562, 50um",
Condition,"S-2008-000562, 25um",
Condition,S-2006-001643_25um,
Condition,ref_S-2008-000562,
Condition,ref_S-2006-001643,
Condition,S-2006-001643_50um,
Organism,fungal,
Sample_Growth_Conditions,Agar,
Sample_Stabilisation,drying,
Organism_Part,Lymph node,
Condition,ref_S-2010-012978,
Condition,"S-1905-017532, 50 um",
Condition,ref_S-1905-017532,
Condition,"S-1905-017532, 25um",
Condition,"S-2010-012978, 25um",
Organism,Gammarus pulex,
Sample_Growth_Conditions,Exposed to a mix of pesticiedes and pharmaceuticals,
Sample_Stabilisation,2 % CMC,
Condition,S-2203-000604,
Condition,ref_S-2002-014499,
Condition,"S-2002-014499, 25um",
Condition,S-2002-014499,
Condition,ref_S-2203-000604,
Condition,25 um,
Condition,Cancerous,
Organism,Populus trichocarpa,
Sample_Stabilisation,Lyophilization ,
Organism,Maize,
Condition,5-NBA derivatization,
Sample_Stabilisation,flash frozen,
Tissue_Modification,5-NBA,
Condition,TMPy derivatization,
Tissue_Modification,TMPy,
Condition,TMPy,
Organism,Helicobacter pylori,
Organism_Part,PMSS1,
Sample_Growth_Conditions,Cultured,
Tissue_Modification,lipid extract (Chl/MeOH/H2O),
Organism,Bacillus subtilis/fusarium,
Condition,interaction,
MALDI_Matrix,"Gold, KAc",
Condition,CA derivatization,
Tissue_Modification,CA,
Organism,Lipid standard,
Organism_Part,solution,
Condition,drop,
Sample_Stabilisation,drop assay,
Organism,Gigantidas gladius,
Organism_Part,gill,
Sample_Stabilisation,"cryo CMC, gelatin",
Additional_Information,Publication DOI: http://pubs.rsc.org/en/content/articlelanding/2017/cc/c7cc02325a#!divAbstract,
Sample_Stabilisation,"GA fixed, frozen",
Organism,Lupinus angustifolius,
Organism_Part,Pod,
Sample_Stabilisation,2.5 % CMC,
MALDI_Matrix_Application,Spray,
Condition,Wildtype which had absorbed labelled lysine,
Condition,Wildtype which had absorbed lysine,
Organism_Part,root nodule,
Condition,biopsy_019,
Condition,wildtype,
Organism,standard,
Organism_Part,Full-body,
Tissue_Modification,Sucrose cryoprotection,
Organism,cultured cells,
Sample_Stabilisation,Fixation,
MALDI_Matrix,DHA,
Analyzer,FTICR 12T,
Organism_Part,neuron,
Organism,E. coli,
Condition,agar,
Organism,Rabbit,
Condition,VX2 Liver Tumor,
Condition,Glioblastoma,
Condition,Contaminated,
Sample_Growth_Conditions,Excess Chocolate,
Analyzer,Xevo G2-XS,
Additional_Information,"Overlapping chocolate fingerprints, training data",
Organism_Part,Breast,
Additional_Information,"Want to check whether the file is corrupt through uploading the imd and imzML files that were exported using FlexImaging
Sample Description: MCF-7 spheroids imaged in negative mode 40 um resolution
Sample Preparation: sectioned at 15um thickness at -21 degrees. coated with 10 mg/ml 9aa 74% ACN 8 passes. 
Publication DOI: N/A",
Condition,ref_S-2008-006714,
Condition,"S-2008-006714, 25um",
Condition,S-2008-006714,
Condition,S-2108-005538_25um,
Condition,S-2108-005538_50um,
Organism,Danaus plexippus,
Sample_Stabilisation,Gelatine,
Organism,Euploea core,
Organism_Part,longitudinal section,
Condition,Dry,
Tissue_Modification,Trypsin digestion,
Organism_Part,Caterpillar,
Organism,people,
Organism_Part,intestinal tract,
Condition,BA059,
MALDI_Matrix,"2,5-dihydroxybenzoic acid",
Condition,feronia_mutant,
Condition,IPF,
Condition,IPF_4419,
Condition,BA046,
Organism_Part,brain,
Tissue_Modification,digestion with trypsin,
Organism,Tradescantia (plant),
Sample_Growth_Conditions,fresh,
Organism,Aplysina aerophoba,
Organism,Gallus domesticus (chicken),
Organism_Part,Bladder,
Organism_Part,esophagus,
Organism_Part,Prostate,
Organism_Part,Thyroid,
Organism_Part,Sarcoma,
Organism,Ivy (Plant),
Organism_Part,fingerprint,
Organism,unknown,
Organism,Mouse ,
Organism_Part,Artery,
Condition,ApoE,
Condition,ref_for_S-1905-018714_50um,
Condition,Control-healthy,
Condition,S-1905-018714_35um,
Condition,S-1905-018714,
Condition,"Cancer, metastatic, GIST",
Additional_Information,"Sample Description: Mixture of intestinal lipids (PCs and lyso-PCs, cholic acid and taurocholate) sprayed on a glass slide.",
Tissue_Modification,CA derivatization,
MALDI_Matrix,gold,
Tissue_Modification,5-NBA derivatization,
Tissue_Modification,TMPy derivatization,
Condition,Infected,
Sample_Growth_Conditions,normal diet,
Organism_Part,finger,
Sample_Growth_Conditions,"fingerprint, fresh",
Condition,ref_S-1909-007131,
MALDI_Matrix,"2,5-dihydroxyacetophenone",
Organism,switchgrass,
Organism_Part,imprint,
Sample_Growth_Conditions,A11,
Sample_Stabilisation,imprint,
Organism,clementine,
Organism,Chlamydomonas reinhardtii,
Organism_Part,Chlamydomonas reinhardtii,
Condition,Chlamydomonas reinhardtii,
Sample_Growth_Conditions,TAP medium,
Organism,Exaiptasia diaphana (anemone),
Condition,Ambient,
Sample_Growth_Conditions,Marine,
Analyzer,FTMS,
Additional_Information,Used peak area for ibd and imz export(not raw data),
Organism,Grevillea robusta,
Organism_Part,Flower,
Organism,Telopea speciosissima,
Organism,Bathymodiolus puteoserpenstis,
Sample_Stabilisation,Flash frozen,
Additional_Information,"Sample Description: 2 day old mouse
Sample Preparation: Cryosectioned at 25 micron thickness and analyzed with 100 micron spatial resolution",
Additional_Information,KPMP (UTHSCSA),
Organism,Neorites kevedianus,
Organism,Hakea bucculenta,
Organism_Part,Rachis,
Organism,Macadamia tetraphylla,
Condition,Frozen,
Sample_Growth_Conditions,A6,
Condition,PVDF_A6,
Condition,GTTP_A6,
Organism_Part,Urinary bladder,
MALDI_Matrix,N/A,
Organism_Part,Adrenal gland,
