,internal_id,name_short,morgan_class,hmdb_func_group_class,property_class
68,101,Spermine,amines,,small basic
69,103,Creatine,carboxylic acids,,small basic
70,105,Creatinine,aromatics,,weak amphoteric
71,106,Agmatine,amines,,small basic
72,107,Folic acid,amino acids and peptides,,polar basic
73,108,Tetrahydrofolic acid,amino acids and peptides,,polar basic
74,110,L-Methionine,amino acids and peptides,,small basic
75,111,L-Cystine,amino acids and peptides,,large basic
76,113,Oxidized glutathione,amino acids and peptides,,polar basic
77,114,Glutathione,amino acids and peptides,,large basic
78,117,Taurine,amines,,basic aqueous
79,119,S-Adenosylmethionine,nucleo*ides,,large basic
80,120,S-Adenosylhomocysteine,nucleo*ides,,large basic
81,121,Homocysteine,amino acids and peptides,,small basic
82,123,L-Cysteine,amino acids and peptides,,small basic
83,125,"N6,N6,N6-Trimethyl-L-lysine",4o amines,,small basic
84,129,L-Valine,amino acids and peptides,,basic aqueous
85,132,Pantothenic acid,carboxylic acids,,small strong amphoteric
86,136,Pantetheine,nucleo*ides,,weak amphoteric
87,138,Coenzyme A,nucleo*ides,,polar basic
88,141,L-Serine,amino acids and peptides,,basic aqueous
89,148,L-Tryptophan,aromatics,,small basic
90,150,L-Kynurenine,aromatics,,small basic
91,151,Kynurenic acid,aromatics,,small strong amphoteric
92,154,3-Hydroxyanthranilic acid,aromatics,,small basic
93,155,Quinolinic acid,aromatics,,small basic
94,158,NAD nicotinamide adenine dinucleotide,nucleo*ides,,polar basic
95,159,NADH (reduced),nucleo*ides,,polar basic
96,160,Niacinamide,aromatics,,weak amphoteric
97,161,Nicotinic acid,aromatics,,small basic
98,165,Serotonin,aromatics,,weak amphoteric
99,166,5-Hydroxyindoleacetic acid,aromatics,,small strong amphoteric
100,168,Melatonin,aromatics,,weak amphoteric
101,169,Nicotinamide riboside,cyclic carbohydrates,,weak amphoteric
102,170,Nicotinamide ribotide,cyclic carbohydrates,,large strong amphoteric
103,184,Hypoxanthine,aromatics,,weak amphoteric
104,185,Adenosine monophosphate,nucleo*ides,,large basic
105,187,Adenine,aromatics,,weak amphoteric
106,190,Xanthine,aromatics,,weak amphoteric
107,193,Guanine,aromatics,,weak amphoteric
108,194,ADP,nucleo*ides,,polar basic
109,195,Adenosine triphosphate,nucleo*ides,,polar basic
110,198,Cyclic AMP,nucleo*ides,,large basic
111,204,Ureidosuccinic acid,amino acids and peptides,,small strong amphoteric
112,205,"4,5-Dihydroorotic acid",carboxylic acids,,small strong amphoteric
113,206,Orotic acid,aromatics,,small strong amphoteric
114,209,Uridine,cyclic carbohydrates,,weak amphoteric
115,210,Uracil,aromatics,,weak amphoteric
116,213,Thymine,aromatics,,weak amphoteric
117,214,Cytidine monophosphate,cyclic carbohydrates,,large strong amphoteric
118,215,Cytidine,cyclic carbohydrates,,weak amphoteric
119,216,Cytosine,aromatics,,weak amphoteric
120,217,Uridine 5'-diphosphate,cyclic carbohydrates,,large strong amphoteric
121,226,Choline,4o amines,,weak amphoteric
122,227,Acetylcholine,4o amines,,small strong amphoteric
123,231,Thiamine,aromatics,,weak amphoteric
124,232,Riboflavin,linear carbohydrates,,large strong amphoteric
125,233,Pyridoxine,aromatics,,weak amphoteric
126,235,Biotin,carboxylic acids,,small strong amphoteric
127,236,Cholecalciferol,steriods,,acidic lipids
128,237,Alpha-tocopherol,steriods,,acidic lipids
129,238,Phylloquinone,steriods,,amphoteric lipids
130,239,Flavin Mononucleotide,linear carbohydrates,,large strong amphoteric
131,241,Flavin adenine dinucleotide,nucleo*ides,,polar basic
132,246,Phosphocreatine,carboxylic acids,,large basic
133,250,Glycerophosphocholine,4o amines,,small strong amphoteric
134,254,Propionylcarnitine,4o amines,,small strong amphoteric
135,257,L-Acetylcarnitine,4o amines,,small strong amphoteric
136,264,Phosphoserine,linear carbohydrates,,large basic
137,274,Uric acid,aromatics,,weak amphoteric
138,276,Cholesteryl acetate,steriods,,amphoteric lipids
139,310,Indole,aromatics,,weak amphoteric
140,318,Glucosamine,cyclic carbohydrates,,acidic aqueous
141,322,Butyric acid,carboxylic acids,,acidic aqueous
142,323,Glycerol 3-phosphate,linear carbohydrates,,small strong amphoteric
143,326,all-trans-Retinoic acid,carboxylic acids,,acidic lipids
144,501,Arachidonic acid,carboxylic acids,,acidic lipids
145,502,15:0-18:1 PC,4o amines,,amphoteric lipids
146,503,15:0-18:1-15:0 TG,lipids,,amphoteric lipids
147,504,18:1 MG,lipids,,acidic lipids
148,505,beta-D-glucosyl cholesterol,steriods,,amphoteric lipids
149,506,18:1 Cardiolipin,lipids,,amphoteric lipids
150,508,18:0-22:6 DG,lipids,,acidic lipids
151,509,16:0-18:1 PS (POPS),lipids,,amphoteric lipids
152,510,16:0-18:1 PG,lipids,,amphoteric lipids
153,511,16:0-18:1 PA,lipids,,amphoteric lipids
154,512,17:1 Lyso PI,lipids,,amphoteric lipids
155,513,16:0-18:1 PI,lipids,,amphoteric lipids
156,514,18:1 PI(5)P,lipids,,amphoteric lipids
157,515,18:0-20:4 PE,lipids,,amphoteric lipids
158,516,15:0 Lyso PC,4o amines,,amphoteric lipids
159,517,18:0 Lyso PE,lipids,,amphoteric lipids
160,518,18:1 Lyso PA,lipids,,amphoteric lipids
161,519,16:0 Lyso PG,lipids,,amphoteric lipids
162,520,17:1 Lyso PS,lipids,,amphoteric lipids
163,521,C18:0 GM3 Ganglioside,lipids,,polar basic
164,522,Cer(d18:1/22:0),lipids,,acidic lipids
165,523,GlcCer(d18:1/18:0),lipids,,acidic lipids
166,524,16:0 SM (d18:1/16:0),4o amines,,amphoteric lipids
167,525,18:0(2S-OH) Sulfo GalCer,lipids,,amphoteric lipids
168,526,CAR 16:0,4o amines,,amphoteric lipids
169,527,C16-18:1 PC (O),4o amines,,amphoteric lipids
170,528,Prostaglandin E1,carboxylic acids,,small strong amphoteric
171,529,Cholesteryl ester 17:0,steriods,,amphoteric lipids
