Sample name,Participant lab,Submitter,Technology,Original technology,Ionisation source,Mass analyser,Source pressure,Matrix long,Matrix short,Polarity,Slide code,Interlab,All,Dataset ID
15C  EMBL  AP-MALDI-Orbitrap  pNA  negative,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,p-Nitroaniline,pNA,negative,15C,False,True,2022-06-01_18h21m54s
15C  EMBL  AP-MALDI-Orbitrap  pNA  positive,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,p-Nitroaniline,pNA,positive,15C,False,True,2022-06-01_18h21m59s
1A  AstraZeneca  DESI-Orbitrap  none  positive,AstraZeneca,Nicole Strittmatter,DESI-Orbitrap,DESI/Orbitrap,DESI,Orbitrap,Ambient,no matrix,none,positive,1A,True,True,2021-12-23_09h43m49s
1C  AstraZeneca  DESI-Orbitrap  none  negative,AstraZeneca,Nicole Strittmatter,DESI-Orbitrap,DESI/Orbitrap,DESI,Orbitrap,Ambient,no matrix,none,negative,1C,True,True,2021-12-19_16h27m49s
1H  UT Austin  DESI-Orbitrap  none  negative,UT Austin,Mary King,DESI-Orbitrap,DESI/Orbitrap,DESI,Orbitrap,Ambient,no matrix,none,negative,1H,True,True,2021-12-19_10h34m32s
1J  UT Austin  DESI-Orbitrap  none  positive,UT Austin,Mary King,DESI-Orbitrap,DESI/Orbitrap,DESI,Orbitrap,Ambient,no matrix,none,positive,1J,True,True,2021-12-19_23h56m42s
2I  Dreisewerd group  MALDI-qTOF  DHAP  positive,Dreisewerd group,Jens Soltwisch,MALDI-qTOF,MALDI-qTOF (Synapt),MALDI,qTOF,Vacuum,"2,5-dihydroxyacetophenone",DHAP,positive,2I,True,True,2022-03-14_22h35m45s
3A  Dreisewerd group  MALDI2-Orbitrap  DHAP  negative,Dreisewerd group,Jens Soltwisch,MALDI2-Orbitrap,MALDI-2/QExactive Plus (Orbitrap),MALDI-2,Orbitrap,Ambient,"2,5-dihydroxyacetophenone",DHAP,negative,3A,True,True,2021-12-02_17h01m03s
3C  EMBL  AP-MALDI-Orbitrap  CMBT  negative,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,5-Chloro-2-mercaptobenzothiazole,CMBT,negative,3C,False,True,2022-06-01_18h22m01s
3C  EMBL  AP-MALDI-Orbitrap  CMBT  positive,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,5-Chloro-2-mercaptobenzothiazole,CMBT,positive,3C,False,True,2022-06-01_18h22m03s
3D  EMBL  AP-MALDI-Orbitrap  ClCCA  negative,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,"4,4-chloro-alpha-cyanocinnamic acid",ClCCA,negative,3D,False,True,2021-11-08_17h35m44s
3D  EMBL  AP-MALDI-Orbitrap  ClCCA  positive,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,"4,4-chloro-alpha-cyanocinnamic acid",ClCCA,positive,3D,False,True,2021-11-08_17h35m46s
3F  EMBL  AP-MALDI-Orbitrap  DHAP  negative,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,"2,5-dihydroxyacetophenone",DHAP,negative,3F,False,True,2021-11-08_17h35m48s
3F  EMBL  AP-MALDI-Orbitrap  DHAP  positive,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,"2,5-dihydroxyacetophenone",DHAP,positive,3F,False,True,2021-11-08_17h35m50s
3H  EMBL  AP-MALDI-Orbitrap  NEDC  negative,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,N-(1-Naphthyl)ethylenediamine dihydrochloride,NEDC,negative,3H,False,True,2021-11-08_17h35m34s
3H  EMBL  AP-MALDI-Orbitrap  NEDC  positive,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,N-(1-Naphthyl)ethylenediamine dihydrochloride,NEDC,positive,3H,False,True,2021-11-08_17h35m32s
3J  EMBL  AP-MALDI-Orbitrap  MAPS  negative,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,Maleic anhydride proton sponge,MAPS,negative,3J,False,True,2021-11-08_17h35m40s
3J  EMBL  AP-MALDI-Orbitrap  MAPS  positive,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,Maleic anhydride proton sponge,MAPS,positive,3J,False,True,2021-11-08_17h35m42s
4F  Dreisewerd group  MALDI2-Orbitrap  DHAP  positive,Dreisewerd group,Jens Soltwisch,MALDI2-Orbitrap,MALDI-2/QExactive Plus (Orbitrap),MALDI-2,Orbitrap,Ambient,"2,5-dihydroxyacetophenone",DHAP,positive,4F,True,True,2021-12-02_16h52m45s
5GI  U Copenhagen  DESI-Orbitrap  none  negative,U Copenhagen,Fernanda Endringer Pinto,DESI-Orbitrap,DESI/Orbitrap,DESI,Orbitrap,Ambient,no matrix,none,negative,5GI,True,True,2022-03-11_12h02m40s|2022-03-11_12h02m38s
5HJ  U Copenhagen  DESI-Orbitrap  none  positive,U Copenhagen,Fernanda Endringer Pinto,DESI-Orbitrap,DESI/Orbitrap,DESI,Orbitrap,Ambient,no matrix,none,positive,5HJ,True,True,2022-03-11_12h02m36s|2022-03-11_12h02m34s
6F  EMBL  AP-MALDI-Orbitrap  NOR  negative,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,norharmane,NOR,negative,6F,False,True,2021-11-08_17h35m21s
6F  EMBL  AP-MALDI-Orbitrap  NOR  positive,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,norharmane,NOR,positive,6F,False,True,2021-11-08_17h35m19s
6G  EMBL  AP-MALDI-Orbitrap  CHCA  negative,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,alpha-Cyano-4-hydroxycinnamic acid,CHCA,negative,6G,False,True,2021-11-08_17h35m29s
6G  EMBL  AP-MALDI-Orbitrap  CHCA  positive,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,alpha-Cyano-4-hydroxycinnamic acid,CHCA,positive,6G,False,True,2021-11-08_17h35m27s
6H  EMBL  AP-MALDI-Orbitrap  PNDI  negative,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,PNDI-T2,PNDI,negative,6H,False,True,2021-11-08_17h35m38s
6H  EMBL  AP-MALDI-Orbitrap  PNDI  positive,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,PNDI-T2,PNDI,positive,6H,False,True,2021-11-08_17h35m36s
6J  EMBL  AP-MALDI-Orbitrap  9AA  negative,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,9-aminoacridine,9AA,negative,6J,False,True,2021-11-08_17h35m25s
6J  EMBL  AP-MALDI-Orbitrap  9AA  positive,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,9-aminoacridine,9AA,positive,6J,False,True,2021-11-08_17h35m23s
7A  EMBL  AP-MALDI-Orbitrap  DAN  negative,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,"1,5-diaminonaphthalene",DAN,negative,7A,True,True,2021-11-08_17h35m16s
7A  EMBL  AP-MALDI-Orbitrap  DAN  positive,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,"1,5-diaminonaphthalene",DAN,positive,7A,False,True,2021-11-08_17h35m14s
7B  Dreisewerd group  MALDI-qTOF  DHAP  negative,Dreisewerd group,Jens Soltwisch,MALDI-qTOF,MALDI-qTOF (Synapt),MALDI,qTOF,Vacuum,"2,5-dihydroxyacetophenone",DHAP,negative,7B,True,True,2022-03-14_22h35m47s
7J  EMBL  AP-MALDI-Orbitrap  DHB  negative,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,"2,5-dihydroxybenzoic acid",DHB,negative,7J,False,True,2021-11-08_17h35m13s
7J  EMBL  AP-MALDI-Orbitrap  DHB  positive,EMBL,"Mans Ekelof, Veronika Saharuka",AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,"2,5-dihydroxybenzoic acid",DHB,positive,7J,True,True,2021-11-08_17h27m55s
8A  JLU Giessen  AP-MALDI-Orbitrap  DHB  positive,JLU Giessen,Max Müller,AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,"2,5-dihydroxybenzoic acid",DHB,positive,8A,True,True,2021-07-30_04h08m37s
8D  JLU Giessen  AP-MALDI-Orbitrap  9AA  negative,JLU Giessen,Max Müller,AP-MALDI-Orbitrap,AP-SMALDI5-AF/Orbitrap,AP-MALDI,Orbitrap,Ambient,9-aminoacridine,9AA,negative,8D,True,True,2021-07-30_04h35m08s
9A  NCSU  IR-MALDESI-Orbitrap  water  positive,NCSU,Crystal Pace,IR-MALDESI-Orbitrap,IR-MALDESI/Orbitrap,MALDESI,Orbitrap,Ambient,water,water,positive,9A,True,True,2021-07-30_10h05m21s
9E  NCSU  IR-MALDESI-Orbitrap  water  negative,NCSU,Crystal Pace,IR-MALDESI-Orbitrap,IR-MALDESI/Orbitrap,MALDESI,Orbitrap,Ambient,water,water,negative,9E,True,True,2021-07-30_09h30m43s
