,name_short,hmdb_primary,kegg_id
149,Cardiolipin 18:1,HMDB0010691,C05980
150,DG 18:0-22:6,HMDB0007179,C00165
151,PS (POPS) 16:0-18:1,HMDB0012357,C02737
152,PG 16:0-18:1,HMDB0010574,C00344
153,PA 16:0-18:1,HMDB0007859,C00416
154,Lyso PI 17:1,HMDB0061693,C03819
155,PI 16:0-18:1,HMDB0009783,C01194
156,PI(5)P 18:1,HMDB0009974,C00626
157,PE 18:0-20:4,HMDB0009003,C00350
158,Lyso PC 15:0,HMDB0010381,C04230
159,Lyso PE 18:0,HMDB0011130,C04438
160,Lyso PA 18:1,HMDB0007855,C00681
161,Lyso PG 16:0,HMDB0240601,C18126
162,Lyso PS 17:1,HMDB0240603,C18125
163,GM3 Ganglioside 18:0,HMDB0004845,C04730
164,Cer d8:1/22:0 Cer,HMDB0004952,C00195
165,GlcCer d18:1/18:0,HMDB0004972,C01190
166,SM d18:1-16:0,HMDB0010169,C00550
167,Sulfo GalCer 18:0(2S-OH),HMDB0012314,C06125
168,CAR 16:0,HMDB0000222,C02990
169,PC (O) C16-18:1,HMDB0013426,C05212
170,Prostaglandin E1,HMDB0001442,C04741
171,Cholesteryl ester 17:0,HMDB0060059,C02530
