internal_id,name,name_short,name_shortest,hmdb_primary,kegg_id
155,Quinolinic acid,Quinolinic acid,quinolic acid,HMDB0000232,C03722
158,Nicotinamide adenine dinucleotide,Nicotinamide adenine dinucleotide (NAD),NAD,HMDB0000902,C00003
159,Nicotinamide adenine dinucleotide (reduced) disodium salt hydrate,"Nicotinamide adenine dinucleotide, reduced (NADH)",NADH,HMDB0001487,C00004
160,Niacinamide,Niacinamide,nicotinamide,HMDB0001406,C00153
161,Nicotinic acid,Nicotinic acid,"nicotinic acid, vitamin B3",HMDB0001488,C00253
165,Serotonin hydrochloride,Serotonin,serotonin,HMDB0000259,C00780
166,5-Hydroxyindole-3-acetic acid,5-Hydroxyindoleacetic acid,5-hydroxy-indoleacetate,HMDB0000763,C05635
168,Melatonin,Melatonin,melatonin,HMDB0001389,C01598
169,Nicotinamide riboside chloride,Nicotinamide riboside,nicotinamide riboside,HMDB0000855,C03150
170,Nicotinamide ribotide,Nicotinamide ribotide,nicotinamide ribotide,HMDB0000229,C00455
184,Hypoxanthine,Hypoxanthine,hypoxanthine,HMDB0000157,C00262
185,Adenosine 5'-monophosphate,Adenosine monophosphate,AMP,HMDB0000045,C00020
187,Adenine hydrochloride,Adenine,adenine,HMDB0000034,C00147
190,Xanthine,Xanthine,xanthine,HMDB0000292,C00385
193,Guanine,Guanine,guanine,HMDB0000132,C00242
194,Adenosine 5'-diphosphate potassium salt,Adenosine diphosphate,ADP,HMDB0001341,C00008
195,Adenosine 5'-triphosphate disodium salt,Adenosine triphosphate,ATP,HMDB0000538,C00002
198,Cyclic AMP,Cyclic adenosine monophosphate,cyclic AMP,HMDB0000058,C00575
204,Ureidosuccinic acid,Ureidosuccinic acid,N-carbamoyl aspartate,HMDB0000828,C00438
205,"4,5-Dihydroorotic acid","4,5-Dihydroorotic acid",dihydroorotoic acid,HMDB0000528,C00337
206,Orotic acid anhydrous,Orotic acid,orotic acid,HMDB0000226,C00295
209,Uridine,Uridine,uridine,HMDB0000296,C00299
210,Uracil,Uracil,uracil,HMDB0000300,C00106
213,Thymine,Thymine,thymine,HMDB0000262,C00178
214,Cytidine 5'-monophosphate,Cytidine monophosphate,CMP,HMDB0000095,C00055
215,Cytidine,Cytidine,cytidine,HMDB0000089,C00475
216,Cytosine,Cytosine,cytosine,HMDB0000630,C00380
217,Uridine 5'-diphosphate disodium salt hydrate,Uridine diphosphate,UDP,HMDB0000295,C00015
226,Choline chloride,Choline,choline,HMDB0000097,C00114
227,Acetylcholine chloride,Acetylcholine,acetylcholine,HMDB0000895,C01996
231,Thiamine hydrochloride,Thiamine,"thiamine, vitamin B1",HMDB0000235,C00378
232,Riboflavin,Riboflavin,"riboflavin, vitamin B2",HMDB0000244,C00255
233,Pyridoxine hydrochloride,Pyridoxine,"pyridoxine, vitamin B6",HMDB0000239,C00314
235,Biotin,Biotin,"biotin, vitamin B7",HMDB0000030,C00120
236,Cholecalciferol,Cholecalciferol,Vitamin D3,HMDB0000876,C05443
237,alpha-tocopherol,alpha-tocopherol,Vitamin E,HMDB0001893,C02477
238,Phylloquinone,Phylloquinone,Vitamin K1,HMDB0003555,C05850
239,Flavin mononucleotide sodium salt,Flavin mononucleotide,"FMN, riboflavin-P",HMDB0001520,C00061
241,Flavin adenine dinucleotide disodium salt hydrate,Flavin adenine dinucleotide,FAD,HMDB0001248,C00016
246,Creatine phosphate disodium salt hydrate,Phosphocreatine,phosphocreatine,HMDB0001511,C02305
250,Glycerophosphocholine,Glycerophosphocholine,glycerophosphocholine,HMDB0000086,C00670
254,Propionylcarnitine hydrochloride,Propionylcarnitine,C3-carnitine,HMDB0000824,C03017
257,L-Acetylcarnitine hydrochloride,Acetylcarnitine,acetylcarnitine,HMDB0000201,C02571
264,Phosphoserine,Phosphoserine,phosphoserine,HMDB0000272,C01005
274,Uric acid,Uric acid,uric acid,HMDB0000289,C00366
276,Cholesteryl acetate,Cholesteryl acetate,CE cholesteryl acetate,HMDB0003822,C02530
310,Indole,Indole,indole,HMDB0000738,C00463
318,D-Glucosamine hydrochloride,Glucosamine,glucosamine,HMDB0001514,C00329
322,Butyric acid sodium salt,Butyric acid,butyrate,HMDB0000039,C00246
323,sn-Glycerol 3-phosphate lithium salt,Glycerol 3-phosphate,glycerol phosphate,HMDB0000126,C00093
326,all-trans-Retinoic acid,Retinoic acid,retinoic acid,HMDB0001852,C00777
501,Arachidonic acid,Arachidonic acid,arachidonic acid,HMDB0001043,C00219
502,1-pentadecanoyl-2-oleoyl-sn-glycero-3-phosphocholine,PC 15:0-18:1,PC,HMDB0007939,C00157
503,"1,3-dipentadecanoyl-2-oleoyl-glycerol",TG 15:0-18:1-15:0,TG,HMDB0043250,C00422
504,1-oleoyl-rac-glycerol,MG 18:1,MG,HMDB0011567,C01885
506,"1',3'-bis[1,2-dioleoyl-sn-glycero-3-phospho]-glycerol (disodium salt)",Cardiolipin 18:1,cardiolipin,HMDB0010691,C05980
508,1-stearoyl-2-docosahexaenoyl-sn-glycerol,DG 18:0-22:6,DG,HMDB0007179,C00165
509,1-palmitoyl-2-oleoyl-sn-glycero-3-phospho-L-serine (sodium salt),PS (POPS) 16:0-18:1,PS,HMDB0012357,C02737
510,1-palmitoyl-2-oleoyl-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt),PG 16:0-18:1,PG,HMDB0010574,C00344
511,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphate (sodium salt),PA 16:0-18:1,PA,HMDB0007859,C00416
513,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphoinositol (ammonium salt),PI 16:0-18:1,PI,HMDB0009783,C01194
514,"1,2-dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol-5'-phosphate) (diammonium salt)",PI(5)P 18:1,PIP,HMDB0009974,C00626
515,1-stearoyl-2-arachidonoyl-sn-glycero-3-phosphoethanolamine,PE 18:0-20:4,PE,HMDB0009003,C00350
516,1-pentadecanoyl-2-hydroxy-sn-glycero-3-phosphocholine,Lyso PC 15:0,LPC,HMDB0010381,C04230
517,1-Stearoyl-2-Hydroxy-sn-Glycero-3-Phosphoethanolamine,Lyso PE 18:0,LPE,HMDB0011130,C04438
518,1-oleoyl-2-hydroxy-sn-glycero-3-phosphate (sodium salt),Lyso PA 18:1,LPA,HMDB0007855,C00681
519,1-palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1'-rac-glycerol) (sodium salt),Lyso PG 16:0,LPG,HMDB0240601,C18126
521,"C18:0 GM3 Ganglioside (synthetic, ammonium salt)",GM3 Ganglioside 18:0,ganglioside,HMDB0004845,C04730
522,N-behenoyl-D-erythro-sphingosine,Cer d8:1/22:0 Cer,Cer,HMDB0004952,C00195
523,"D-glucosyl-beta-1,1'-N-stearoyl-D-erythro-sphingosine",GlcCer d18:1/18:0,GlcCer,HMDB0004972,C01190
524,N-palmitoyl-D-erythro-sphingosylphosphorylcholine,SM d18:1-16:0,sphingomyelin,HMDB0010169,C00550
526,palmitoyl L-carnitine,CAR 16:0,palmitoylcarnitine,HMDB0000222,C02990
528,Prostaglandin E1,Prostaglandin E1,PGE1,HMDB0001442,C04741
529,Cholesteryl heptadecanoate,Cholesteryl ester 17:0,CE,HMDB0060059,C02530
