dataset_id,well,formula,adduct,neutral_loss,score
2021-02-17_18h14m40s,98,C7H7NO3,#NAME?,,0
2021-02-17_18h14m40s,100,C6H13O9P,#NAME?,,1
2021-02-17_18h14m40s,101,C5H11O8P,#NAME?,,0
2021-02-17_18h14m40s,102,C3H4O3,#NAME?,,0
2021-02-17_18h14m40s,103,C3H7O7P,#NAME?,,1
2021-02-17_18h14m40s,104,C3H6O3,#NAME?,,0
2021-02-17_18h14m40s,105,C4H4O5,#NAME?,,0
2021-02-17_18h14m40s,106,C6H14NO8P,#NAME?,,1
2021-02-17_18h14m40s,107,C4H12N2,#NAME?,,1
2021-02-17_18h14m40s,109,C9H17NO4,#NAME?,,1
2021-02-17_18h14m40s,110,C7H15NO3,#NAME?,,1
2021-02-17_18h14m40s,111,C2H7NO3S,#NAME?,,1
2021-02-17_18h14m40s,112,C10H17N3O6S,#NAME?,,1
2021-02-17_18h14m40s,113,C4H6O4,#NAME?,,0
2021-02-17_18h14m40s,114,C6H6O6,#NAME?,,0
2021-02-17_18h14m40s,115,C10H26N4,#NAME?,,1
2021-02-17_18h14m40s,116,C5H14NO,#NAME?,,0
2021-02-17_18h14m40s,117,C3H8NO6P,#NAME?,,0
2021-02-17_18h14m40s,118,C5H10O5,#NAME?,,0
2021-02-17_18h14m40s,119,C11H22N2O4S,#NAME?,,1
2021-02-17_18h14m40s,120,C11H15N2O8P,#NAME?,,1
2021-02-17_18h14m40s,121,C11H15N2O5,#NAME?,,0
2021-02-17_18h14m40s,123,C3H7NO2S,#NAME?,,1
2021-02-17_18h14m40s,124,C6H12O6,#NAME?,,0
2021-02-17_18h14m40s,125,C3H6O3,#NAME?,,0
2021-02-17_18h14m40s,126,C4H5N3O,#NAME?,,1
2021-02-17_18h14m40s,127,C9H11NO4,#NAME?,,1
2021-02-17_18h14m40s,128,C6H6N2O2,#NAME?,,1
2021-02-17_18h14m40s,129,C5H4N4O2,#NAME?,,1
2021-02-17_18h14m40s,130,C4H9NO2,#NAME?,,1
2021-02-17_18h14m40s,131,C5H6O5,#NAME?,,0
2021-02-17_18h14m40s,132,C9H14N4O3,#NAME?,,1
2021-02-17_18h14m40s,133,C4H4N2O2,#NAME?,,1
2021-02-17_18h14m40s,134,C10H14N5O7P,#NAME?,,1
2021-02-17_18h14m40s,135,C5H4N4O,#NAME?,,1
2021-02-17_18h14m40s,136,C6H6N2O,#NAME?,,1
2021-02-17_18h14m40s,137,C5H6N2O2,#NAME?,,1
2021-02-17_18h14m40s,138,C6H5NO2,#NAME?,,1
2021-02-17_18h14m40s,139,C7H16NO2,#NAME?,,0
2021-02-17_18h14m40s,140,C12H17N4OS,#NAME?,,1
2021-02-17_18h14m40s,142,C8H11NO3,#NAME?,,1
2021-02-17_18h14m40s,143,C10H16N2O3S,#NAME?,,1
2021-02-17_18h14m40s,145,C5H11NO2,#NAME?,,1
2021-02-17_18h14m40s,146,C4H7N3O,#NAME?,,1
2021-02-17_18h14m40s,147,C5H9NO4,#NAME?,,1
2021-02-17_18h14m40s,149,C9H11NO2,#NAME?,,1
2021-02-17_18h14m40s,150,C9H11NO3,#NAME?,,1
2021-02-17_18h14m40s,151,C3H4O4,#NAME?,,0
2021-02-17_18h14m40s,152,C5H14N4,#NAME?,,1
2021-02-17_18h14m40s,154,C4H10N3O5P,#NAME?,,1
2021-02-17_18h14m40s,155,C10H12N2O3,#NAME?,,1
2021-02-17_18h14m40s,156,C11H12N2O2,#NAME?,,1
2021-02-17_18h14m40s,157,C10H9NO3,#NAME?,,1
2021-02-17_18h14m40s,158,C10H19NO4,#NAME?,,1
2021-02-17_18h14m40s,159,C6H14N4O2,#NAME?,,1
2021-02-17_18h14m40s,160,C6H13N3O3,#NAME?,,1
2021-02-17_18h14m40s,161,C5H12N2O2,#NAME?,,1
2021-02-17_18h14m40s,162,C4H9NO2S,#NAME?,,1
2021-02-17_18h14m40s,164,C5H9NO2,#NAME?,,1
2021-02-17_18h14m40s,165,C5H9NO3,#NAME?,,1
2021-02-17_18h14m40s,166,C10H12N2O,#NAME?,,1
2021-02-17_18h14m40s,167,C7H19N3,#NAME?,,1
2021-02-17_18h14m40s,168,C5H9N3,#NAME?,,1
2021-02-17_18h14m40s,169,C6H13NO5,#NAME?,,1
2021-02-17_18h14m40s,170,C6H14O12P2,#NAME?,,1
2021-02-17_18h14m40s,171,C5H4N2O4,#NAME?,,0
2021-02-17_18h14m40s,172,C7H5NO4,#NAME?,,1
2021-02-17_18h14m40s,173,C4H9N3O2,#NAME?,,1
2021-02-17_18h14m40s,174,C5H10N2O3,#NAME?,,1
2021-02-17_18h14m40s,175,C6H8O6,#NAME?,,1
2021-02-17_18h14m40s,177,C8H11NO2,#NAME?,,1
2021-02-17_18h14m40s,178,C5H5N5O,#NAME?,,1
2021-02-17_18h14m40s,179,C6H9N3O2,#NAME?,,1
2021-02-17_18h14m40s,180,C3H7NO3,#NAME?,,1
2021-02-17_18h14m40s,181,C9H17NO5,#NAME?,,1
2021-02-17_18h14m40s,182,C9H12N2O6,#NAME?,,1
2021-02-17_18h14m40s,183,C6H12O7,#NAME?,,0
2021-02-17_18h14m40s,184,C5H11NO2S,#NAME?,,1
2021-02-17_18h14m40s,185,C6H12N2O4S2,#NAME?,,1
2021-02-17_18h14m40s,186,C4H8N2O3,#NAME?,,1
2021-02-17_18h14m40s,187,C4H7NO4,#NAME?,,1
2021-02-17_18h14m40s,188,C5H8N2O5,#NAME?,,1
2021-02-17_18h14m40s,10,C8H7N,#NAME?,,0
2021-02-17_18h14m40s,14,C20H28O2,#NAME?,,1
2021-02-17_18h14m40s,17,C20H32O2,#NAME?,,0
2021-02-17_18h14m40s,23,C18H24O2,#NAME?,,1
2021-02-17_18h14m40s,24,C16H32O2,#NAME?,,0
2021-02-17_18h14m40s,26,C13H16N2O2,#NAME?,,1
2021-02-17_18h14m40s,38,C4H4O4,#NAME?,,1
2021-02-17_18h14m40s,57,C6H13O9P,#NAME?,,0
2021-02-17_18h14m40s,58,C5H11O8P,#NAME?,,1
2021-02-17_18h14m40s,59,C4H6O5,#NAME?,,1
2021-02-17_18h14m40s,60,C9H13N3O5,#NAME?,,1
2021-02-17_18h14m40s,61,C6H12O4,#NAME?,,1
2021-02-17_18h14m40s,63,C3H9O6P,#NAME?,,1
2021-02-17_18h14m40s,66,C8H15NO6,#NAME?,,1
2021-02-17_18h14m40s,67,C9H14N3O8P,#NAME?,,1
2021-02-17_18h14m40s,68,C6H8O7,#NAME?,,1
2021-02-17_18h14m40s,69,C5H4N4O3,#NAME?,,1
2021-02-17_18h14m40s,70,C9H13NO3,#NAME?,,1
2021-02-17_18h14m40s,72,C10H7NO3,#NAME?,,1
2021-02-17_18h14m40s,73,C5H6N2O4,#NAME?,,1
2021-02-17_18h14m40s,74,C8H16NO9P,#NAME?,,1
2021-02-17_18h14m40s,75,C3H7O6P,#NAME?,,1
2021-02-17_18h14m40s,76,C11H16N2O8,#NAME?,,1
2021-02-17_18h14m40s,77,C6H10O5,#NAME?,,0
2021-02-17_18h14m40s,82,C10H18N4O6,#NAME?,,1
2021-02-17_18h14m40s,83,C9H20N2O2,#NAME?,,1
2021-02-17_18h14m40s,84,C4H6O3,#NAME?,,0
2021-02-17_18h14m40s,85,C6H13O10P,#NAME?,,1
2021-02-17_18h14m40s,89,C6H9NO5,#NAME?,,1
2021-02-17_18h14m40s,90,C5H5N5,#NAME?,,1
2021-02-17_18h14m40s,91,C6H12O6,#NAME?,,1
2021-02-17_18h14m40s,92,C4H8O2,#NAME?,,0
2021-02-17_18h14m40s,93,C2H5NO2,#NAME?,,1
2021-02-17_18h14m40s,94,CH4NO5P,#NAME?,,0
2021-02-17_18h14m40s,95,C8H20NO6P,#NAME?,,1
2021-02-17_18h14m40s,96,C3H5O6P,#NAME?,,1
2021-02-17_18h14m40s,98,C7H7NO3,#NAME?,,0
2021-02-17_18h14m40s,100,C6H13O9P,#NAME?,,0
2021-02-17_18h14m40s,101,C5H11O8P,#NAME?,,1
2021-02-17_18h14m40s,102,C3H4O3,#NAME?,,0
2021-02-17_18h14m40s,103,C3H7O7P,#NAME?,,1
2021-02-17_18h14m40s,104,C3H6O3,#NAME?,,0
2021-02-17_18h14m40s,105,C4H4O5,#NAME?,,0
2021-02-17_18h14m40s,106,C6H14NO8P,#NAME?,,1
2021-02-17_18h14m40s,107,C4H12N2,#NAME?,,1
2021-02-17_18h14m40s,109,C9H17NO4,#NAME?,,1
2021-02-17_18h14m40s,110,C7H15NO3,#NAME?,,1
2021-02-17_18h14m40s,111,C2H7NO3S,#NAME?,,1
2021-02-17_18h14m40s,112,C10H17N3O6S,#NAME?,,1
2021-02-17_18h14m40s,113,C4H6O4,#NAME?,,1
2021-02-17_18h14m40s,114,C6H6O6,#NAME?,,1
2021-02-17_18h14m40s,115,C10H26N4,#NAME?,,1
2021-02-17_18h14m40s,116,C5H14NO,#NAME?,,0
2021-02-17_18h14m40s,117,C3H8NO6P,#NAME?,,0
2021-02-17_18h14m40s,118,C5H10O5,#NAME?,,1
2021-02-17_18h14m40s,119,C11H22N2O4S,#NAME?,,1
2021-02-17_18h14m40s,121,C11H15N2O5,#NAME?,,0
2021-02-17_18h14m40s,123,C3H7NO2S,#NAME?,,1
2021-02-17_18h14m40s,124,C6H12O6,#NAME?,,1
2021-02-17_18h14m40s,125,C3H6O3,#NAME?,,0
2021-02-17_18h14m40s,126,C4H5N3O,#NAME?,,1
2021-02-17_18h14m40s,127,C9H11NO4,#NAME?,,1
2021-02-17_18h14m40s,128,C6H6N2O2,#NAME?,,1
2021-02-17_18h14m40s,129,C5H4N4O2,#NAME?,,1
2021-02-17_18h14m40s,130,C4H9NO2,#NAME?,,1
2021-02-17_18h14m40s,131,C5H6O5,#NAME?,,1
2021-02-17_18h14m40s,132,C9H14N4O3,#NAME?,,1
2021-02-17_18h14m40s,133,C4H4N2O2,#NAME?,,1
2021-02-17_18h14m40s,135,C5H4N4O,#NAME?,,1
2021-02-17_18h14m40s,136,C6H6N2O,#NAME?,,0
2021-02-17_18h14m40s,137,C5H6N2O2,#NAME?,,1
2021-02-17_18h14m40s,138,C6H5NO2,#NAME?,,1
2021-02-17_18h14m40s,139,C7H16NO2,#NAME?,,0
2021-02-17_18h14m40s,140,C12H17N4OS,#NAME?,,0
2021-02-17_18h14m40s,142,C8H11NO3,#NAME?,,1
2021-02-17_18h14m40s,143,C10H16N2O3S,#NAME?,,1
2021-02-17_18h14m40s,145,C5H11NO2,#NAME?,,1
2021-02-17_18h14m40s,146,C4H7N3O,#NAME?,,1
2021-02-17_18h14m40s,147,C5H9NO4,#NAME?,,1
2021-02-17_18h14m40s,149,C9H11NO2,#NAME?,,1
2021-02-17_18h14m40s,150,C9H11NO3,#NAME?,,1
2021-02-17_18h14m40s,151,C3H4O4,#NAME?,,1
2021-02-17_18h14m40s,152,C5H14N4,#NAME?,,1
2021-02-17_18h14m40s,154,C4H10N3O5P,#NAME?,,1
2021-02-17_18h14m40s,155,C10H12N2O3,#NAME?,,1
2021-02-17_18h14m40s,156,C11H12N2O2,#NAME?,,1
2021-02-17_18h14m40s,157,C10H9NO3,#NAME?,,1
2021-02-17_18h14m40s,158,C10H19NO4,#NAME?,,1
2021-02-17_18h14m40s,159,C6H14N4O2,#NAME?,,1
2021-02-17_18h14m40s,160,C6H13N3O3,#NAME?,,1
2021-02-17_18h14m40s,161,C5H12N2O2,#NAME?,,1
2021-02-17_18h14m40s,162,C4H9NO2S,#NAME?,,1
2021-02-17_18h14m40s,164,C5H9NO2,#NAME?,,1
2021-02-17_18h14m40s,165,C5H9NO3,#NAME?,,1
2021-02-17_18h14m40s,166,C10H12N2O,#NAME?,,1
2021-02-17_18h14m40s,167,C7H19N3,#NAME?,,1
2021-02-17_18h14m40s,168,C5H9N3,#NAME?,,1
2021-02-17_18h14m40s,169,C6H13NO5,#NAME?,,1
2021-02-17_18h14m40s,171,C5H4N2O4,#NAME?,,0
2021-02-17_18h14m40s,172,C7H5NO4,#NAME?,,1
2021-02-17_18h14m40s,173,C4H9N3O2,#NAME?,,1
2021-02-17_18h14m40s,174,C5H10N2O3,#NAME?,,1
2021-02-17_18h14m40s,175,C6H8O6,#NAME?,,1
2021-02-17_18h14m40s,177,C8H11NO2,#NAME?,,1
2021-02-17_18h14m40s,178,C5H5N5O,#NAME?,,1
2021-02-17_18h14m40s,179,C6H9N3O2,#NAME?,,1
2021-02-17_18h14m40s,180,C3H7NO3,#NAME?,,1
2021-02-17_18h14m40s,181,C9H17NO5,#NAME?,,1
2021-02-17_18h14m40s,182,C9H12N2O6,#NAME?,,1
2021-02-17_18h14m40s,183,C6H12O7,#NAME?,,1
2021-02-17_18h14m40s,184,C5H11NO2S,#NAME?,,1
2021-02-17_18h14m40s,185,C6H12N2O4S2,#NAME?,,1
2021-02-17_18h14m40s,186,C4H8N2O3,#NAME?,,1
2021-02-17_18h14m40s,187,C4H7NO4,#NAME?,,1
2021-02-17_18h14m40s,188,C5H8N2O5,#NAME?,,1
2021-02-17_18h14m40s,10,C8H7N,#NAME?,,0
2021-02-17_18h14m40s,14,C20H28O2,#NAME?,,0
2021-02-17_18h14m40s,17,C20H32O2,#NAME?,,0
2021-02-17_18h14m40s,23,C18H24O2,#NAME?,,0
2021-02-17_18h14m40s,24,C16H32O2,#NAME?,,0
2021-02-17_18h14m40s,26,C13H16N2O2,#NAME?,,1
2021-02-17_18h14m40s,38,C4H4O4,#NAME?,,0
2021-02-17_18h14m40s,57,C6H13O9P,#NAME?,,0
2021-02-17_18h14m40s,58,C5H11O8P,#NAME?,,1
2021-02-17_18h14m40s,59,C4H6O5,#NAME?,,1
2021-02-17_18h14m40s,60,C9H13N3O5,#NAME?,,1
2021-02-17_18h14m40s,61,C6H12O4,#NAME?,,1
2021-02-17_18h14m40s,63,C3H9O6P,#NAME?,,0
2021-02-17_18h14m40s,66,C8H15NO6,#NAME?,,1
2021-02-17_18h14m40s,68,C6H8O7,#NAME?,,1
2021-02-17_18h14m40s,69,C5H4N4O3,#NAME?,,0
2021-02-17_18h14m40s,70,C9H13NO3,#NAME?,,1
2021-02-17_18h14m40s,72,C10H7NO3,#NAME?,,1
2021-02-17_18h14m40s,73,C5H6N2O4,#NAME?,,0
2021-02-17_18h14m40s,74,C8H16NO9P,#NAME?,,1
2021-02-17_18h14m40s,75,C3H7O6P,#NAME?,,1
2021-02-17_18h14m40s,76,C11H16N2O8,#NAME?,,1
2021-02-17_18h14m40s,77,C6H10O5,#NAME?,,0
2021-02-17_18h14m40s,82,C10H18N4O6,#NAME?,,1
2021-02-17_18h14m40s,83,C9H20N2O2,#NAME?,,1
2021-02-17_18h14m40s,85,C6H13O10P,#NAME?,,0
2021-02-17_18h14m40s,84,C4H6O3,#NAME?,,0
2021-02-17_18h14m40s,89,C6H9NO5,#NAME?,,1
2021-02-17_18h14m40s,90,C5H5N5,#NAME?,,1
2021-02-17_18h14m40s,91,C6H12O6,#NAME?,,0
2021-02-17_18h14m40s,92,C4H8O2,#NAME?,,0
2021-02-17_18h14m40s,93,C2H5NO2,#NAME?,,0
2021-02-17_18h14m40s,94,CH4NO5P,#NAME?,,0
2021-02-17_18h14m40s,95,C8H20NO6P,#NAME?,,1
2021-02-17_18h14m40s,96,C3H5O6P,#NAME?,,1
2021-02-17_18h14m40s,98,C7H7NO3,#NAME?,,0
2021-02-17_18h14m40s,100,C6H13O9P,#NAME?,,0
2021-02-17_18h14m40s,101,C5H11O8P,#NAME?,,1
2021-02-17_18h14m40s,102,C3H4O3,#NAME?,,0
2021-02-17_18h14m40s,103,C3H7O7P,#NAME?,,1
2021-02-17_18h14m40s,104,C3H6O3,#NAME?,,0
2021-02-17_18h14m40s,105,C4H4O5,#NAME?,,0
2021-02-17_18h14m40s,106,C6H14NO8P,#NAME?,,1
2021-02-17_18h14m40s,107,C4H12N2,#NAME?,,0
2021-02-17_18h14m40s,109,C9H17NO4,#NAME?,,1
2021-02-17_18h14m40s,110,C7H15NO3,#NAME?,,1
2021-02-17_18h14m40s,111,C2H7NO3S,#NAME?,,1
2021-02-17_18h14m40s,112,C10H17N3O6S,#NAME?,,1
2021-02-17_18h14m40s,113,C4H6O4,#NAME?,,1
2021-02-17_18h14m40s,114,C6H6O6,#NAME?,,1
2021-02-17_18h14m40s,115,C10H26N4,#NAME?,,1
2021-02-17_18h14m40s,116,C5H14NO,#NAME?,,0
2021-02-17_18h14m40s,117,C3H8NO6P,#NAME?,,0
2021-02-17_18h14m40s,118,C5H10O5,#NAME?,,1
2021-02-17_18h14m40s,119,C11H22N2O4S,#NAME?,,1
2021-02-17_18h14m40s,121,C11H15N2O5,#NAME?,,0
2021-02-17_18h14m40s,123,C3H7NO2S,#NAME?,,0
2021-02-17_18h14m40s,124,C6H12O6,#NAME?,,0
2021-02-17_18h14m40s,125,C3H6O3,#NAME?,,0
2021-02-17_18h14m40s,126,C4H5N3O,#NAME?,,1
2021-02-17_18h14m40s,127,C9H11NO4,#NAME?,,1
2021-02-17_18h14m40s,128,C6H6N2O2,#NAME?,,1
2021-02-17_18h14m40s,129,C5H4N4O2,#NAME?,,1
2021-02-17_18h14m40s,130,C4H9NO2,#NAME?,,1
2021-02-17_18h14m40s,131,C5H6O5,#NAME?,,0
2021-02-17_18h14m40s,132,C9H14N4O3,#NAME?,,1
2021-02-17_18h14m40s,133,C4H4N2O2,#NAME?,,0
2021-02-17_18h14m40s,135,C5H4N4O,#NAME?,,1
2021-02-17_18h14m40s,136,C6H6N2O,#NAME?,,0
2021-02-17_18h14m40s,137,C5H6N2O2,#NAME?,,0
2021-02-17_18h14m40s,138,C6H5NO2,#NAME?,,0
2021-02-17_18h14m40s,139,C7H16NO2,#NAME?,,0
2021-02-17_18h14m40s,140,C12H17N4OS,#NAME?,,0
2021-02-17_18h14m40s,142,C8H11NO3,#NAME?,,0
2021-02-17_18h14m40s,143,C10H16N2O3S,#NAME?,,1
2021-02-17_18h14m40s,145,C5H11NO2,#NAME?,,0
2021-02-17_18h14m40s,146,C4H7N3O,#NAME?,,1
2021-02-17_18h14m40s,147,C5H9NO4,#NAME?,,1
2021-02-17_18h14m40s,149,C9H11NO2,#NAME?,,1
2021-02-17_18h14m40s,150,C9H11NO3,#NAME?,,1
2021-02-17_18h14m40s,151,C3H4O4,#NAME?,,0
2021-02-17_18h14m40s,152,C5H14N4,#NAME?,,1
2021-02-17_18h14m40s,154,C4H10N3O5P,#NAME?,,0
2021-02-17_18h14m40s,155,C10H12N2O3,#NAME?,,1
2021-02-17_18h14m40s,156,C11H12N2O2,#NAME?,,1
2021-02-17_18h14m40s,157,C10H9NO3,#NAME?,,1
2021-02-17_18h14m40s,158,C10H19NO4,#NAME?,,1
2021-02-17_18h14m40s,159,C6H14N4O2,#NAME?,,1
2021-02-17_18h14m40s,160,C6H13N3O3,#NAME?,,1
2021-02-17_18h14m40s,161,C5H12N2O2,#NAME?,,1
2021-02-17_18h14m40s,162,C4H9NO2S,#NAME?,,0
2021-02-17_18h14m40s,164,C5H9NO2,#NAME?,,0
2021-02-17_18h14m40s,165,C5H9NO3,#NAME?,,1
2021-02-17_18h14m40s,166,C10H12N2O,#NAME?,,1
2021-02-17_18h14m40s,167,C7H19N3,#NAME?,,1
2021-02-17_18h14m40s,168,C5H9N3,#NAME?,,1
2021-02-17_18h14m40s,169,C6H13NO5,#NAME?,,1
2021-02-17_18h14m40s,171,C5H4N2O4,#NAME?,,0
2021-02-17_18h14m40s,172,C7H5NO4,#NAME?,,1
2021-02-17_18h14m40s,173,C4H9N3O2,#NAME?,,1
2021-02-17_18h14m40s,174,C5H10N2O3,#NAME?,,1
2021-02-17_18h14m40s,175,C6H8O6,#NAME?,,1
2021-02-17_18h14m40s,177,C8H11NO2,#NAME?,,0
2021-02-17_18h14m40s,178,C5H5N5O,#NAME?,,1
2021-02-17_18h14m40s,179,C6H9N3O2,#NAME?,,1
2021-02-17_18h14m40s,180,C3H7NO3,#NAME?,,0
2021-02-17_18h14m40s,181,C9H17NO5,#NAME?,,1
2021-02-17_18h14m40s,182,C9H12N2O6,#NAME?,,1
2021-02-17_18h14m40s,183,C6H12O7,#NAME?,,1
2021-02-17_18h14m40s,184,C5H11NO2S,#NAME?,,1
2021-02-17_18h14m40s,185,C6H12N2O4S2,#NAME?,,1
2021-02-17_18h14m40s,186,C4H8N2O3,#NAME?,,1
2021-02-17_18h14m40s,187,C4H7NO4,#NAME?,,1
2021-02-17_18h14m40s,188,C5H8N2O5,#NAME?,,1
