well,name,formula,mass,no,short,hmdb_primary,is_hmdbid_matching compound,other_id_info
43,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphoinositol (ammonium salt),C43H81O13P,836.541482,513,16:0-18:1 PI,HMDB0009783,True,https://avantilipids.com/product/850142
44,1-(10Z-heptadecenoyl)-2-hydroxy-sn-glycero-3-[phospho-L-serine] (sodium salt),C23H44NO9P,509.275371,520,17:1 Lyso PS,HMDB0240603,False,"https://avantilipids.com/product/858141, ? no HMDB entry, used ID for 18:1 LysoPS"
45,1-O-hexadecyl-2-oleoyl-sn-glycero-3-phosphocholine,C42H84NO7P,745.598541,527,C16-18:1 PC (O),HMDB0013426,False,"https://avantilipids.com/product/878112, ? no HMDB emtry, used ID for an isomer"
46,"1,3-dipentadecanoyl-2-oleoyl-glycerol",C51H96O6,804.72069,503,15:0-18:1-15:0 TG,HMDB0043250,True,https://avantilipids.com/product/330723
47,ß-D-glucosyl cholesterol,C33H56O6,548.40769,505,ß-D-glucosyl cholesterol,HMDB0010330,False,"https://avantilipids.com/product/700180, ? no good option, used id for Cholesterol glucuronide instead, not ideal!!!"
48,1-oleoyl-2-hydroxy-sn-glycero-3-phosphate (sodium salt),C21H41O7P,436.258992,518,18:1 Lyso PA,HMDB0007855,True,https://avantilipids.com/product/857130
49,1-palmitoyl-2-oleoyl-sn-glycero-3-phospho-L-serine (sodium salt),C40H76NO10P,761.520686,509,16:0-18:1 PS (POPS),HMDB0012357,True,https://avantilipids.com/product/840034
50,"C18:0 GM3 Ganglioside (synthetic, ammonium salt)",C59H108N2O21,1180.744463,521,C18:0 GM3 Ganglioside,HMDB0004845,True,https://avantilipids.com/product/860074
51,1-pentadecanoyl-2-oleoyl-sn-glycero-3-phosphocholine,C41H80NO8P,745.562156,502,15:0-18:1 PC,HMDB0007939,True,https://avantilipids.com/product/330716
52,Palmitoyl-CoA (Ammonium Salt),C37H66N7O17P3S,1005.34488,55,Palmityl-CoA,HMDB0001338,True,
53,4-methylbenzyl pyridinium chloride,C13H14N,184.112624,903,thermometer 3,,,
54,4-cyanobenzyl pyridinium chloride,C20H17N2,285.139173,904,thermometer 4,,,
55,4-chlorobenzyl pyridinium chloride,C12H11ClN,204.058002,905,thermometer 5,,,
56,Blank,H2O,0,,,,,
57,Glucose 6-phosphate sodium salt,C6H13O9P,260.029722,1,Glucose 6-phosphate,HMDB0001401,True,
58,D-Ribose 5-phosphate disodium salt hydrate,C5H11O8P,230.019157,16,D-Ribose 5-phosphate,HMDB0001548,True,
59,L-Malic acid,C4H6O5,134.021525,30,L-Malic acid,HMDB0000156,True,
60,Cytidine,C9H13N3O5,243.085522,215,Cytidine,HMDB0000089,True,
61,(R)-Mevalonic acid lithium salt,C6H12O4,148.07356,50,(R)-Mevalonic acid lithium salt,HMDB0000227,True,
62,S-Adenosylhomocysteine,C14H20N6O5S,384.12159,120,S-Adenosylhomocysteine,HMDB0000939,True,
63,Glycerol 3-phosphate lithium salt,C3H9O6P,172.013677,323,Glycerol 3-phosphate,HMDB0000126,True,
64,5-Methyltetrahydrofolic acid disodium salt,C20H25N7O6,459.186633,108,Tetrahydrofolic acid,HMDB0001846,True,
65,NADH (reduced) disodium salt hydrate,C21H29N7O14P2,665.124777,159,NADH (reduced),HMDB0001487,True,
66,N-Acetyl-D-glucosamine,C8H15NO6,221.089939,39,N-Acetyl-D-glucosamine,HMDB0000215,True,
67,Cytidine monophosphate,C9H14N3O8P,323.051854,214,Cytidine monophosphate,HMDB0000095,True,
68,Citric acid,C6H8O7,192.027005,22,Citric acid,HMDB0000094,True,
69,Uric acid,C5H4N4O3,168.028341,274,Uric acid,HMDB0000289,True,
70,Epinephrine,C9H13NO3,183.089544,79,Epinephrine,HMDB0000068,True,
72,Kynurenic acid,C10H7NO3,189.042594,151,Kynurenic acid,HMDB0000715,True,
73,"4,5-Dihydroorotic acid",C5H6N2O4,158.032758,205,"4,5-Dihydroorotic acid",HMDB0000528,True,
74,N-Acetyl-D-galactosamine 1-phosphate,C8H16NO9P,301.056271,36,N-Acetyl-D-galactosamine 1-phosphate,HMDB0006480,True,
75,Dihydroxyacetone phosphate dilithium salt,C3H7O6P,169.998027,4,Dihydroxyacetone phosphate,HMDB0001473,True,
76,N-Acetylaspartylglutamic acid,C11H16N2O8,304.090668,72,N-Acetylaspartylglutamic acid,HMDB0001067,True,
77,3-Hydroxymethylglutaric acid,C6H10O5,162.052825,54,3-Hydroxymethylglutaric acid,HMDB0000355,True,
78,Acetyl-CoA,C23H38N7O17P3S,809.12578,11,Acetyl-CoA,HMDB0001206,True,
79,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,607.081576,38,Uridine diphosphate-N-acetylglucosamine,HMDB0000290,True,
80,ADP,C10H15N5O10P2,427.029419,194,ADP,HMDB0001341,True,
81,Adenosine triphosphate,C10H16N5O13P3,506.995751,195,Adenosine triphosphate,HMDB0000538,True,
82,"Argininosuccinic acid lithium salt (1,2 or 3 Li, they don't say)",C10H18N4O6,290.122636,92,Argininosuccinic acid lithium salt,HMDB0000052,True,
83,"N6,N6,N6-Trimethyl-L-lysine hydrochloride",C9H20N2O2,188.152478,125,"N6,N6,N6-Trimethyl-L-lysine",HMDB0001325,True,
84,Acetoacetic acid lithium salt,C4H6O3,102.031695,83,Acetoacetic acid,HMDB0000060,True,
85,6-Phosphogluconic acid trisodium salt,C6H13O10P,276.024637,14,6-Phosphogluconic acid,HMDB0001316,True,
86,Oxidized glutathione,C20H32N6O12S2,612.151966,113,Oxidized glutathione,HMDB0003337,True,
87,NAD nicotinamide adenine dinucleotide,C21H28N7O14P2,664.116952,158,NAD nicotinamide adenine dinucleotide,HMDB0000902,True,
88,Cyclic AMP,C10H12N5O6P,329.052522,198,Cyclic AMP,HMDB0000058,True,
89,N-Acetyl-L-aspartic acid,C6H9NO5,175.048074,69,N-Acetyl-L-aspartic acid,HMDB0000812,True,
90,Adenine,C5H5N5,135.054495,187,Adenine,HMDB0000034,True,
91,D-Glucose,C6H12O6,180.06339,0,D-Glucose,HMDB0000122,True,
92,Butyric acid,C4H8O2,88.05243,322,Butyric acid,HMDB0000039,True,
93,Glycine,C2H5NO2,75.032029,59,Glycine,HMDB0000123,True,
94,"Carbamoyl phosphate dibasic hydrate, lithium salt",CH4NO5P,140.982711,95,Carbamoyl phosphate,HMDB0001096,True,
95,Glycerophosphocholine,C8H20NO6P,257.102826,250,Glycerophosphocholine,HMDB0000086,True,
96,Phosphoenolpyruvic acid potassium salt,C3H5O6P,167.982377,9,Phosphoenolpyruvic acid,HMDB0000263,True,
97,Flavin Mononucleotide sodium salt,C17H21N4O9P,456.104618,239,Flavin Mononucleotide,HMDB0001520,True,
98,3-Hydroxyanthranilic acid,C7H7NO3,153.042594,154,3-Hydroxyanthranilic acid,HMDB0001476,True,
99,Uridine diphosphoglucuronic acid trisodium salt,C15H22N2O18P2,580.034292,34,Uridine diphosphate glucuronic acid,HMDB0000935,True,
100,Myo-inositol 1-phosphate dipotassium salt,C6H13O9P,260.029722,42,Myo-inositol 1-phosphate,HMDB0000213,True,
101,D-Ribulose 5-phosphate disodium salt,C5H11O8P,230.019157,15,D-Ribulose 5-phosphate,HMDB0000618,True,
102,Pyruvic acid,C3H4O3,88.016045,10,Pyruvic acid,HMDB0000243,True,
103,3-Phosphoglyceric acid sodium salt,C3H7O7P,185.992942,7,3-Phosphoglyceric acid,HMDB0000807,True,
104,L-Lactic acid sodium salt,C3H6O3,90.031695,12,L-Lactic acid,HMDB0000190,True,
105,Oxalacetic acid,C4H4O5,132.005875,31,Oxalacetic acid,HMDB0000223,True,
106,Glucosamine 6-phosphate,C6H14NO8P,259.045706,35,Glucosamine 6-phosphate,HMDB0001254,True,
107,Putrescine dihydrochloride,C4H12N2,88.100048,99,Putrescine,HMDB0001414,True,
108,Flavin adenine dinucleotide disodium salt hydrate,C27H33N9O15P2,785.15714,241,Flavin adenine dinucleotide,HMDB0001248,True,
109,L-Acetylcarnitine HCl,C9H17NO4,203.115759,257,L-Acetylcarnitine,HMDB0000201,True,
110,L-Carnitine,C7H15NO3,161.105194,56,L-Carnitine,HMDB0000062,True,
111,Taurine,C2H7NO3S,125.014665,117,Taurine,HMDB0000251,True,
112,Glutathione,C10H17N3O6S,307.083808,114,Glutathione,HMDB0000125,True,
113,Succinic acid,C4H6O4,118.02661,28,Succinic acid,HMDB0000254,True,
114,cis-Aconitic acid,C6H6O6,174.01644,24,cis-Aconitic acid,HMDB0000072,True,
115,Spermine tetrahydrochloride,C10H26N4,202.215746,101,Spermine,HMDB0001256,True,
116,Choline,C5H14NO,104.107539,226,Choline,HMDB0000097,True,
117,Phosphoserine,C3H8NO6P,185.008926,264,Phosphoserine,HMDB0000272,True,
118,L-Ribulose,C5H10O5,150.052825,21,L-Ribulose,HMDB0003371,True,
119,Pantetheine,C11H22N2O4S,278.130029,136,Pantetheine,HMDB0003426,True,
120,Nicotinamide ribotide,C11H15N2O8P,334.056605,170,Nicotinamide ribotide,HMDB0000229,True,
121,Nicotinamide riboside chloride,C11H15N2O5,255.098098,169,Nicotinamide riboside chloride,HMDB0000855,True,
122,Uridine 5'-diphosphate,C9H14N2O12P2,404.002202,217,Uridine 5'-diphosphate,HMDB0000295,True,
123,L-Cysteine,C3H7NO2S,121.01975,123,L-Cysteine,HMDB0000574,True,
124,myo-Inositol,C6H12O6,180.06339,40,myo-Inositol,HMDB0000211,True,
125,Dihydroxyacetone,C3H6O3,90.031695,17,Dihydroxyacetone,HMDB0001882,True,
126,Cytosine,C4H5N3O,111.043262,216,Cytosine,HMDB0000630,True,
127,L-Dopa,C9H11NO4,197.068809,76,L-Dopa,HMDB0000181,True,
128,Urocanic acid,C6H6N2O2,138.042928,86,Urocanic acid,HMDB0000301,True,
129,Xanthine,C5H4N4O2,152.033426,190,Xanthine,HMDB0000292,True,
130,gamma-Aminobutyric acid,C4H9NO2,103.063329,73,gamma-Aminobutyric acid,HMDB0000112,True,
131,Oxoglutaric acid,C5H6O5,146.021525,26,Oxoglutaric acid,HMDB0000208,True,
132,Carnosine,C9H14N4O3,226.106591,85,Carnosine,HMDB0000033,True,
133,Uracil,C4H4N2O2,112.027278,210,Uracil,HMDB0000300,True,
134,Adenosine monophosphate,C10H14N5O7P,347.063087,185,Adenosine monophosphate,HMDB0000045,True,
135,Hypoxanthine,C5H4N4O,136.038511,184,Hypoxanthine,HMDB0000157,True,
136,Niacinamide,C6H6N2O,122.048013,160,Niacinamide,HMDB0001406,True,
137,Thymine,C5H6N2O2,126.042928,213,Thymine,HMDB0000262,True,
138,Nicotinic acid,C6H5NO2,123.032029,161,Nicotinic acid,HMDB0001488,True,
139,Acetylcholine,C7H16NO2,146.118104,227,Acetylcholine,HMDB0000895,True,
140,Thiamine,C12H17N4OS,265.112307,231,Thiamine,HMDB0000235,True,
141,Riboflavin,C17H20N4O6,376.138286,232,Riboflavin,HMDB0000244,True,
142,Pyridoxine,C8H11NO3,169.073894,233,Pyridoxine,HMDB0000239,True,
143,Biotin,C10H16N2O3S,244.088164,235,Biotin,HMDB0000030,True,
144,Taurocholic acid,C26H45NO7S,515.291675,60,Taurocholic acid,HMDB0000036,True,
145,L-Valine,C5H11NO2,117.078979,129,L-Valine,HMDB0000883,True,
146,Creatinine,C4H7N3O,113.058912,105,Creatinine,HMDB0000562,True,
147,L-Glutamic acid,C5H9NO4,147.053159,71,L-Glutamic acid,HMDB0000148,True,
148,Folic acid,C19H19N7O6,441.139683,107,Folic acid,HMDB0000121,True,
149,L-Phenylalanine,C9H11NO2,165.078979,74,L-Phenylalanine,HMDB0000159,True,
150,L-Tyrosine,C9H11NO3,181.073894,75,L-Tyrosine,HMDB0000158,True,
151,Malonic acid,C3H4O4,104.01096,53,Malonic acid,HMDB0000691,True,
152,Agmatine,C5H14N4,130.121846,106,Agmatine,HMDB0001432,True,
153,S-Adenosylmethionine,C15H23N6O5S,399.145065,119,S-Adenosylmethionine,HMDB0001185,True,
154,Phosphocreatine,C4H10N3O5P,211.035809,246,Phosphocreatine,HMDB0001511,True,
155,L-Kynurenine,C10H12N2O3,208.084793,150,L-Kynurenine,HMDB0000684,True,
156,L-Tryptophan,C11H12N2O2,204.089878,148,L-Tryptophan,HMDB0000929,True,
157,5-Hydroxyindoleacetic acid,C10H9NO3,191.058244,166,5-Hydroxyindoleacetic acid,HMDB0000763,True,
158,Propionylcarnitine,C10H19NO4,217.131409,254,Propionylcarnitine,HMDB0000824,True,
159,L-Arginine,C6H14N4O2,174.111676,90,L-Arginine,HMDB0000517,True,
160,Citrulline,C6H13N3O3,175.095692,91,Citrulline,HMDB0000904,True,
161,Ornithine,C5H12N2O2,132.089878,93,Ornithine,HMDB0000214,True,
162,Homocysteine,C4H9NO2S,135.0354,121,Homocysteine,HMDB0000742,True,
163,Uridine diphosphate glucose,C15H24N2O17P2,566.055027,33,Uridine diphosphate glucose,HMDB0000286,True,
164,L-Proline,C5H9NO2,115.063329,97,L-Proline,HMDB0000162,True,
165,4-Hydroxyproline,C5H9NO3,131.058244,98,4-Hydroxyproline,HMDB0000725,True,
166,Serotonin,C10H12N2O,176.094963,165,Serotonin,HMDB0000259,True,
167,Spermidine,C7H19N3,145.157897,100,Spermidine,HMDB0001257,True,
168,Histamine,C5H9N3,111.079647,89,Histamine,HMDB0000870,True,
169,Glucosamine,C6H13NO5,179.079374,318,Glucosamine,HMDB0001514,True,
170,"Fructose 1,6-bisphosphate",C6H14O12P2,339.996054,3,"Fructose 1,6-bisphosphate",HMDB0001058,True,
171,Orotic acid,C5H4N2O4,156.017108,206,Orotic acid,HMDB0000226,True,
172,Quinolinic acid,C7H5NO4,167.021859,155,Quinolinic acid,HMDB0000232,True,
173,Creatine,C4H9N3O2,131.069477,103,Creatine,HMDB0000064,True,
174,L-Glutamine,C5H10N2O3,146.069143,70,L-Glutamine,HMDB0000641,True,
175,Ascorbic acid,C6H8O6,176.03209,41,Ascorbic acid,HMDB0000044,True,
177,Dopamine,C8H11NO2,153.078979,77,Dopamine,HMDB0000073,True,
178,Guanine,C5H5N5O,151.04941,193,Guanine,HMDB0000132,True,
179,L-Histidine,C6H9N3O2,155.069477,84,L-Histidine,HMDB0000177,True,
180,L-Serine,C3H7NO3,105.042594,141,L-Serine,HMDB0000187,True,
181,Pantothenic acid,C9H17NO5,219.110674,132,Pantothenic acid,HMDB0000210,True,
182,Uridine,C9H12N2O6,244.069538,209,Uridine,HMDB0000296,True,
183,Gluconic acid,C6H12O7,196.058305,20,Gluconic acid,HMDB0000625,True,
184,L-Methionine,C5H11NO2S,149.05105,110,L-Methionine,HMDB0000696,True,
185,L-Cystine,C6H12N2O4S2,240.02385,111,L-Cystine,HMDB0000192,True,
186,L-Asparagine,C4H8N2O3,132.053493,67,L-Asparagine,HMDB0000168,True,
187,L-Aspartic acid,C4H7NO4,133.037509,68,L-Aspartic acid,HMDB0000191,True,
188,Ureidosuccinic acid,C5H8N2O5,176.043323,204,Ureidosuccinic acid,HMDB0000828,True,
189,Coenzyme A,C21H36N7O16P3S,767.115215,138,Coenzyme A,HMDB0001423,True,
