mouse_model,name,bigg_accessions,hmdb_secondary,kegg_id,lipidmaps_id,inchi_key,hmdb_primary
3hanthrn,['3 Hydroxyanthranilate C7H7NO3'],"['3hanthrn[c]', '3hanthrn[e]', '3hanthrn_c', '3hanthrn']",['HMDB01476'],['C00632'],,['WJXSWCUQABXPFS-UHFFFAOYSA-M'],HMDB0001476
3hbcoa,['(S)-3-Hydroxybutanoyl-CoA'],"['3hbcoa_m', '3hbcoa[x]', '3hbcoa_c', '3hbcoa[c]', '_3hbcoa_c', '3hbcoa[m]', '3hbcoa_x', '3hbcoa']",['HMDB62259'],['C01144'],['LMFA07050153'],['QHHKKMYHDBRONY-VKBDFPRVSA-J'],HMDB0062259
3hibutcoa,['(S)-3-Hydroxyisobutyryl-CoA'],"['3hibutcoa[m]', '3hibutcoa_m', '3hibutcoa', '3hibutcoa_c']",['HMDB01052'],['C06000'],['LMFA07050157'],['WWEOGFZEFHPUAM-UQCJFRAESA-J'],HMDB0001052
3hmbcoa,['(S)-3-Hydroxy-2-methylbutyryl-CoA'],"['3hmbcoa_m', '3hmbcoa_c', '3hmbcoa', '3hmbcoa[m]']","['HMDB02029', 'HMDB01356']",['C04405'],"['LMFA07050188', 'LMFA07050109']",['PEKYNTFSOBAABV-LQUDNSJZSA-J'],HMDB0001356
3hmp,['3-Hydroxy-2-methylpropanoate'],"['3hmp[m]', '3hmp', '3hmp_c', '3hmp_m', '3hmp[c]', '3hmp[e]']",['HMDB62640'],['C01188'],,['DBXBTMSZEOQQDU-UHFFFAOYSA-M'],HMDB0000023
3hpcoa,['3-Hydroxypropionyl-CoA'],"['3hpcoa[x]', '3hpcoa_c', '3hpcoa[m]', '3hpcoa_x', '3hpcoa_m', '3hpcoa']",['HMDB62572'],['C05668'],['LMFA07050226'],['BERBFZCUSMQABM-IEXPHMLFSA-J'],HMDB0062572
3hpp,['3-Hydroxypropanoate'],"['3hpp_p', '3hpp[e]', '3hpp[c]', '3hpp_m', '3hpp_e', '3hpp', '3hpp_c', '3hpp[m]']",['HMDB00700'],['C01013'],,['ALRHLSYJTWAHJZ-UHFFFAOYSA-M'],HMDB0000700
3hxkynam,['3-Hydroxykynurenamine'],"['3hxkynam_c', '3hxkynam', '3hxkynam[c]']",['HMDB60281'],['C05636'],,['ODOPEICAGBYCFH-UHFFFAOYSA-O'],HMDB0060281
3mb2coa,['3-Methylbut-2-enoyl-CoA'],"['3mb2coa[m]', '3mb2coa_c', '3mb2coa', '_3mb2coa_c', '3mb2coa_m']",['HMDB01493'],['C03069'],"['LMFA07050234', 'LMFA07050232']",['BXIPALATIYNHJN-ZMHDXICWSA-J'],HMDB0001493
3mgcoa,['3-Methylglutaconyl-CoA'],"['3mgcoa[m]', '3mgcoa_c', '3mgcoa', '_3mgcoa_c', '3mgcoa_m']",['HMDB01057'],['C03231'],['LMFA07050235'],['GXKSHRDAHFLWPN-RKYLSHMCSA-I'],HMDB0001057
3mob,['3-Methyl-2-oxobutanoate'],"['3mob', '3mob_m', '3mob[e]', '3mob_h', '3mob[m]', '3mob_e', '3mob_c', '_3mob_c', '3mob[c]']","['HMDB04260', 'HMDB00019']",['C00141'],['LMFA01020274'],['QHKABHOOEWYVLI-UHFFFAOYSA-M'],HMDB0000019
3mop,['(S)-3-Methyl-2-oxopentanoate'],"['3mop[m]', '3mop[c]', '_3mop_c', '3mop_m', '3mop', '3mop_e', '3mop_h', '3mop[e]', '3mop_c']",,['C00671'],['LMFA01020275'],['JVQYSWDUAOAHFM-BYPYZUCNSA-M'],HMDB0000491
3mox4hpac,['3-Methoxy-4-hydroxyphenylacetaldehyde'],"['3mox4hpac[m]', '3mox4hpac', '3mox4hpac[c]', '3mox4hpac_m', '3mox4hpac_c']",['HMDB05175'],['C05581'],,['GOQGGGANVKPMNH-UHFFFAOYSA-N'],HMDB0005175
3moxtyr,['3-Methoxytyramine'],"['3moxtyr[c]', '3moxtyr', '3moxtyr[e]', '3moxtyr_c', '3moxtyr_e']","['HMDB00022', 'HMDB06022']",['C05587'],,['DIVQKHQLANKJQO-UHFFFAOYSA-O'],HMDB0000022
3odcoa,['3-Oxodecanoyl-CoA'],"['3odcoa[x]', '3odcoa_m', '3odcoa_x', '3odcoa[m]', '3odcoa', '3odcoa_c', '_3odcoa_c']","['HMDB06349', 'HMDB03939']",['C05265'],['LMFA07050239'],['AZCVXMAPLHSIKY-HSJNEKGZSA-J'],HMDB0003939
3oddcoa,['3-Oxododecanoyl-CoA'],"['3oddcoa_c', '3oddcoa[x]', '3oddcoa_m', '3oddcoa', '3oddcoa[m]', '3oddcoa_x', '_3oddcoa_c']","['HMDB03937', 'HMDB62368', 'HMDB06350']",['C05263'],"['LMFA07050013', 'LMFA07050247']",['HQANBZHVWIDNQZ-GMHMEAMDSA-J'],HMDB0003937
3ohdcoa,['3-Oxohexadecanoyl-CoA'],"['3ohdcoa_x', '_3ohdcoa_c', '3ohdcoa', '3ohdcoa[x]', '3ohdcoa_c', '3ohdcoa[m]', '3ohdcoa_m']",['HMDB06402'],['C05259'],['LMFA07050250'],['NQMPLXPCRJOSHL-BBECNAHFSA-J'],HMDB0006402
3ohodcoa,['3-Oxooctadecanoyl-CoA'],"['3ohodcoa[r]', '3ohodcoa[c]', '3oodcoa_c', '3oodcoa_x', '3ohodcoa_x', '3ohodcoa[l]', '3ohodcoa[x]', '3ohodcoa_c', '3ohodcoa[m]', '3oodcoa_m', '_3oodcoa_c', '3oodcoa', '3ohodcoa']",['HMDB06498'],['C16216'],['LMFA07050248'],['LGOGWHDPDVAUNY-LFZQUHGESA-J'],HMDB0006498
3ohxccoa,['3 Oxohexacosyl CoA C47H80N7O18P3S'],"['3ohxccoa_x', '3ohxccoa[c]', '3ohxccoa[x]', '3ohxccoa']","['HMDB62371', 'HMDB60241']",,['LMFA07050241'],['VOMUIFOBQMYJPJ-CPIGOPAHSA-J'],HMDB0060241
3otdcoa,['3-Oxotetradecanoyl-CoA'],"['_3otdcoa_c', '3otdcoa_x', '3otdcoa_c', '3otdcoa', '3otdcoa[m]', '3otdcoa[x]', '3otdcoa_m']","['HMDB06527', 'HMDB03935']",['C05261'],['LMFA07050256'],['IQNFBGHLIVBNOU-QSGBVPJFSA-J'],HMDB0003935
3pg,['3-Phospho-D-glycerate'],"['3pg_cx', '3pg[c]', '3pg[e]', '3pg[m]', '3pg_e', '3pg_h', '3pg_p', '3pg_f', '_3pg_c', '3pg_m', '3pg_x', '3pg_c', '3pg']",['HMDB60180'],['C00197'],,['OSJPPGNTCRNQQC-UWTATZPHSA-K'],HMDB0060180
3php,['3-Phosphohydroxypyruvate'],"['3php_m', '3php[c]', '_3php_c', '3php', '3php_h', '3php_c']","['HMDB60175', 'HMDB01024']",['C03232'],,['LFLUCDOSQPJJBE-UHFFFAOYSA-K'],HMDB0001024
3sala,['3-Sulfino-L-alanine'],"['3sala', '3sala_h', '3sala_m', '3sala[m]', '3sala[c]', '3sala_c']","['HMDB00996', 'HMDB60179']",['C00606'],,['ADVPTQAUNPRNPO-REOHCLBHSA-M'],HMDB0000996
3spyr,['3-Sulfopyruvate'],"['3spyr[m]', '3spyr_h', '3spyr_c', '3spyr_m', '3spyr[c]', '3spyr']","['HMDB60174', 'HMDB04045']",['C05528'],,['BUTHMSUEBYPMKJ-UHFFFAOYSA-L'],HMDB0004045
3uib,['3-Ureidoisobutyrate'],"['3uib[c]', '3uib', '3uib_c', '3uib[e]']",['HMDB02031'],['C05100'],,['PHENTZNALBMCQD-UHFFFAOYSA-M'],HMDB0002031
46dhoxquin,"['4,6-Dihydroxyquinoline']","['46dhoxquin_c', '46dhoxquin[c]', '46dhoxquin']",['HMDB04077'],['C05639'],,['XFALURCRIGINGT-UHFFFAOYSA-N'],HMDB0004077
48dhoxquin,"['4,8-Dihydroxyquinoline']","['48dhoxquin[c]', '48dhoxquin', '48dhoxquin_c']",['HMDB60289'],['C05637'],,['PYELIMVFIITPER-UHFFFAOYSA-N'],HMDB0060289
4aabutn,['4 Acetamidobutanoate C6H10NO3'],"['4aabutn', '4aabutn[c]', '4aabutn[e]', '4aabutn_c', '4aabutn_m', '4aabutn[m]']","['HMDB06238', 'HMDB60265', 'HMDB03681']",['C02946'],,['UZTFMUBKZQVKLK-UHFFFAOYSA-M'],HMDB0003681
4abut,['4-Aminobutanoate'],"['4abut_c', '4abut[l]', '4abut[e]', '4abut_e', '4abut_h', '4abut[c]', '4abut_m', '4abut[n]', '4abut', '4abut[m]', '4abut_p', '4abut_l']",['HMDB00112'],['C00334'],['LMFA01100039'],['BTCSSZJGUNDROE-UHFFFAOYSA-N'],HMDB0000112
4abutn,['4-Aminobutanal'],"['4abutn_m', '4abutn[c]', '4abutn', '4abutn_h', '4abutn_c', '4abutn[e]', '4abutn_e', '4abutn[m]']","['HMDB60247', 'HMDB01080']",['C00555'],,['DZQLQEYLEYWJIB-UHFFFAOYSA-O'],HMDB0001080
4fumacac,['4 Fumarylacetoacetate C8H6O6'],"['4fumacac_n', '4fumacac_c', '4fumacac', '4fumacac[c]']","['HMDB62563', 'HMDB01428', 'HMDB01268']",['C01061'],['LMFA01170066'],['GACSIVHAIFQKTC-OWOJBTEDSA-L'],HMDB0001268
4h2oglt,['4 Hydroxy 2 oxoglutarate C5H4O6'],"['4h2oglt[c]', '4h2oglt_x', '4h2oglt_c', '4h2oglt_m', '4h2oglt[m]', '4h2oglt']","['HMDB02070', 'HMDB01479']",['C01127'],,['WXSKVKPSMAHCSG-UHFFFAOYSA-L'],HMDB0002070
4hbz,['4-Hydroxybenzoate'],"['_4hbz_e', '4hbz[e]', '4hbz_c', '4hbz[m]', '_4hbz_p', '4hbz', '4hbz_m', '4hbz_p', '4hbz[c]', '_4hbz_c', '4hbz_e']",['HMDB00500'],['C00156'],,['FJKROLUGYXJWQN-UHFFFAOYSA-M'],HMDB0000500
4hbzcoa,['4 hydroxybenoyl CoA C28H36N7O18P3S'],"['_4hbzcoa_c', '4hbzcoa_m', '4hbzcoa[c]', '4hbzcoa[m]', '4hbzcoa']","['HMDB06467', 'HMDB60140']",['C02949'],,['LTVXPVBFJBTNIJ-TYHXJLICSA-J'],HMDB0006467
4hglusa,['L 4 Hydroxyglutamate semialdehyde C5H9NO4'],"['4hglusa_m', '4hglusa', '4hglusa[m]', '4hglusa_c']",['HMDB06556'],['C05938'],,['XCXUZPXOFFRGGP-DMTCNVIQSA-N'],HMDB0006556
4hoxpacd,['4-Hydroxyphenylacetaldehyde'],"['4hoxpacd_c', '4hoxpacd_p', '4hoxpacd', '4hoxpacd_e', '4hoxpacd[c]']",['HMDB03767'],['C03765'],,['IPRPPFIAVHPVJH-UHFFFAOYSA-N'],HMDB0003767
4hphac,['4-Hydroxyphenylacetate'],"['4hphac[c]', '4hphac[e]', '4hphac_c', '4hphac_e', '_4hphac_c', '4hphac', '4hphac_p']",['HMDB60390'],['C13636'],,['HBMCQTHGYMTCOF-UHFFFAOYSA-N'],HMDB0060390
4hpro_LT,['Trans 4 Hydroxy L proline C5H9NO3'],"['4hpro__LT_r', '4hpro_LT[e]', '4hpro__LT_m', '4hpro_DASH_LT_g', '4hpro_LT[m]', '4hpro_LT_e', '4hpro__LT_e', '4hpro__LT_c', '4hpro_LT[c]', '4hpro_LT_m', '4hpro_LT_p', '4hpro_LT[r]', '4hpro_LT_c', '4hpro_DASH_LT_c', '4hpro_LT', '4hpro_DASH_LT_m', '4hpro_DASH_LT_r']","['HMDB36576', 'HMDB00725']","['C03651', 'C01157']",,['PMMYEEVYMWASQN-DMTCNVIQSA-N'],HMDB0000725
4izp,['4-Imidazolone-5-propanoate'],"['4izp', '4izp_c', '4izp[c]', '4iz5pp_c', '4iz5pp']","['HMDB01014', 'HMDB62719']",['C03680'],,['MYNHYKDPSRPBNZ-UHFFFAOYSA-N'],HMDB0001014
4mlacac,['4 Maleylacetoacetate C8H6O6'],"['4mlacac', '4mlacac[c]', '4mlacac_c', '4mlacac_n']",['HMDB02052'],['C01036'],['LMFA01170114'],['GACSIVHAIFQKTC-UPHRSURJSA-L'],HMDB0002052
4mop,['4-Methyl-2-oxopentanoate'],"['4mop[e]', '4mop[m]', '4mop_m', '4mop_h', '4mop_c', '4mop[c]', '4mop_e', '_4mop_c', '4mop']","['HMDB00762', 'HMDB00695']",['C00233'],,['BKAJNAXTPSGJCU-UHFFFAOYSA-M'],HMDB0000695
4mzym_int1,['4 Methylzymosterol intermediate 1 C29H46O3'],"['4mzym_int1', '4mzym_int1[r]', '4mzym_int1[c]', '4mzym_int1_r', '4mzym_DASH_int1_c', '4mzym_int1_c']",['HMDB60146'],,,,HMDB0060146
4mzym_int2,['4 Methylzymosterol intermediate 2 C28H44O'],"['4mzym_int2_c', '4mzym_DASH_int2_c', '4mzym_int2[c]', '4mzym_int2', '4mzym_int2[r]', '4mzym_int2_r']",['HMDB60142'],,,,HMDB0060142
4ppan,"[""D-4'-Phosphopantothenate""]","['_4ppan_c', '4ppan[c]', '4ppan_c', '4ppan_m', '4ppan', '4ppan[m]']","['HMDB62700', 'HMDB01016']",['C03492'],,['XHFVGHPGDLDEQO-ZETCQYMHSA-K'],HMDB0001016
4ppcys,['N-((R)-4-Phosphopantothenoyl)-L-cysteine'],"['4ppcys[c]', '4ppcys_m', '4ppcys', '_4ppcys_c', '4ppcys_c', '4ppcys[m]']",['HMDB01117'],['C04352'],,['XQYALQVLCNHCFT-CBAPKCEASA-K'],HMDB0001117
4tmeabutn,['4-Trimethylammoniobutanoate'],"['4tmeabutn', '4tmeabutn[e]', '4tmeabutn_c', '4tmeabutn[c]']","['HMDB06831', 'HMDB01161']",['C01181'],,['JHPNVNIEXXLNTR-UHFFFAOYSA-N'],HMDB0001161
56dthm,"['5,6-Dihydrothymine']","['56dthm[m]', '56dthm', '56dthm_m', '56dthm[e]', '56dthm[c]', '56dthm_c']",['HMDB00079'],['C00906'],,['NBAKTGXDIBVZOO-UHFFFAOYSA-N'],HMDB0000079
56dura,"['5,6-dihydrouracil']","['56dura', '56dura[e]', '56dura_c', '56dura[c]']",['HMDB00076'],['C00429'],,['OIVLITBTBDPEFK-UHFFFAOYSA-N'],HMDB0000076
5a2opntn,['5-Amino-2-oxopentanoate'],"['5a2opntn', '5a2opntn_c', '5a2opntn[x]', '5a2opntn[c]', '5a2opntn_x', '5a2opntn[e]']",['HMDB06272'],['C01110'],['LMFA01060169'],['BWHGMFYTDQEALD-UHFFFAOYSA-N'],HMDB0006272
5aizc,['5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate'],"['_5aizc_c', '5aizc', '5aizc[c]', '5aizc_h', '5aizc_c']","['HMDB62424', 'HMDB06273']",['C04751'],,['XFVULMDJZXYMSG-ZIYNGMLESA-L'],HMDB0006273
5aop,['5-Amino-4-oxopentanoate'],"['5aop[m]', '5aop_e', '5aop[c]', '5aop_m', '_5aop_c', '5aop', '5aop[e]', '5aop_c', '5aop_h']",['HMDB01149'],['C00430'],['LMFA01100055'],['ZGXJTSGNIOSYLO-UHFFFAOYSA-N'],HMDB0001149
5dpmev,[' R  5 Diphosphomevalonate C6H10O10P2'],"['5dpmev[x]', '5dpmev[c]', '5dpmev_c', '5dpmev', '5dpmev_x']",['HMDB01090'],['C01143'],['LMFA01050416'],['SIGQQUBJQXSAMW-ZCFIWIBFSA-J'],HMDB0001090
